device width,number of chips,h,solve time
8,4,8,0.3012576103210449
9,5,9,0.3775475025177002
10,6,10,0.30615782737731934
11,7,11,0.302020788192749
12,8,12,0.295360803604126
13,9,13,0.31264281272888184
14,9,14,0.3071727752685547
15,10,15,0.3080408573150635
16,10,16,0.3130452632904053
17,12,17,0.31267356872558594
18,16,18,0.39365649223327637
19,14,19,0.41393542289733887
20,14,20,0.33716344833374023
21,15,21,0.3857879638671875
22,16,22,0.36022424697875977
23,19,23,0.8650615215301514
24,18,24,0.8897054195404053
25,19,25,0.8119971752166748
26,22,26,1.1036345958709717
27,21,27,0.6887774467468262
28,22,28,2.678311347961426
29,24,29,0.8166401386260986
30,20,30,0.7448868751525879
31,19,31,0.6592462062835693
32,27,32,56.44541811943054
33,23,33,1.1433062553405762
34,21,34,0.6490147113800049
35,22,35,1.2872908115386963
36,23,36,0.5607612133026123
37,27,37,31.843402862548828
38,19,38,0.8007004261016846
39,29,39,9.332146644592285
40,20,40,0.7579219341278076
15,25,40,1.2317109107971191
15,25,40,2.2473275661468506
15,25,40,0.7118935585021973
30,28,61,300.2279770374298
30,29,61,300.25439167022705
30,28,60,0.8318073749542236
60,73,92,300.8046929836273
