device width,number of chips,h,solve time
8,4,8,0.2997324466705322
9,5,9,0.3040120601654053
10,6,10,0.322418212890625
11,7,11,0.30595993995666504
12,8,12,0.3334989547729492
13,9,13,0.33373546600341797
14,9,14,0.3305947780609131
15,10,15,0.3187439441680908
16,10,16,0.3293416500091553
17,12,17,0.351032018661499
18,16,18,1.1345372200012207
19,14,19,0.4116358757019043
20,14,20,0.3293299674987793
21,15,21,0.3809633255004883
22,16,22,0.3629922866821289
23,19,23,2.2912254333496094
24,18,24,0.956596851348877
25,19,25,0.799440860748291
26,22,26,1.908614158630371
27,21,27,0.9014053344726562
28,22,28,1.1877555847167969
29,24,29,13.508660793304443
30,20,30,0.9387087821960449
31,19,31,0.5147862434387207
32,27,32,8.059754371643066
33,23,33,0.7187080383300781
34,21,34,0.7921102046966553
35,22,35,0.5502021312713623
36,23,36,1.1689343452453613
37,27,37,45.57866716384888
38,19,38,0.669358491897583
39,29,40,68342.71418499947
40,20,40,1.78519606590271
15,25,40,1.660550594329834
15,25,40,10.103590250015259
15,25,40,1.01947021484375
30,28,60,17.719916820526123
30,29,60,17.172234296798706
30,28,60,15.272143363952637
