device width,number of chips,h,solve time
8,4,8,0.27798914909362793
9,5,9,0.36142611503601074
10,6,10,0.3712339401245117
11,7,11,0.3383219242095947
12,8,12,0.2861628532409668
13,9,13,0.28172779083251953
14,9,14,0.3292667865753174
15,10,15,0.2939004898071289
16,10,16,0.3684966564178467
17,12,17,0.43845605850219727
18,16,18,1.2083535194396973
19,14,19,0.4149894714355469
20,14,20,0.3325643539428711
21,15,21,0.35376739501953125
22,16,22,0.36989378929138184
23,19,23,2.3351378440856934
24,18,24,0.9309694766998291
25,19,25,0.7654211521148682
26,22,26,1.8926761150360107
27,21,27,0.8902397155761719
28,22,28,1.2223937511444092
29,24,29,14.800241231918335
30,20,30,0.9832918643951416
31,19,31,0.5324366092681885
32,27,32,8.386432409286499
33,23,33,0.6930346488952637
34,21,34,0.7805795669555664
35,22,35,0.5573251247406006
36,23,36,1.1959795951843262
37,27,37,52.53602051734924
38,19,38,0.726151704788208
39,29,40,300.2262349128723
40,20,40,0.6672999858856201
15,25,40,1.2718250751495361
15,25,40,6.096566200256348
15,25,40,0.9292128086090088
30,28,60,18.08760166168213
30,29,60,18.48620581626892
30,28,60,15.257230997085571
60,73,92,300.80581974983215
