device width,number of chips,h,solve time
8,4,8,0.31890368461608887
9,5,9,0.32656145095825195
10,6,10,0.2902073860168457
11,7,11,0.34134411811828613
12,8,12,0.3080730438232422
13,9,13,0.42461466789245605
14,9,14,0.29027748107910156
15,10,15,0.34930849075317383
16,10,16,0.31408214569091797
17,12,17,0.3326537609100342
18,16,18,0.4721498489379883
19,14,19,0.3904407024383545
20,14,20,0.3612387180328369
21,15,21,0.41991615295410156
22,16,22,0.37776708602905273
23,19,23,0.495772123336792
24,18,24,3.021955728530884
25,19,25,0.8642020225524902
26,22,26,16.30353617668152
27,21,27,0.6493194103240967
28,22,28,0.8737998008728027
29,24,29,26.960139274597168
30,20,30,0.810826301574707
31,19,31,0.5647909641265869
32,27,32,24.961939334869385
33,23,33,0.9177660942077637
34,21,34,1.5241374969482422
35,22,35,1.7973191738128662
36,23,36,0.6452100276947021
37,27,37,197.30161356925964
38,19,38,0.739393949508667
39,29,39,120.62285542488098
40,20,40,1.0018939971923828
15,25,40,0.7647628784179688
15,25,40,0.9385967254638672
15,25,40,1.047034740447998
30,28,60,2.540440797805786
30,29,60,286.12907457351685
30,28,60,29.503411769866943
60,73,92,303.760338306427
