device width,number of chips,h,solve time
8,4,8,0.29850244522094727
9,5,9,0.33565521240234375
10,6,10,0.2830822467803955
11,7,11,0.28148913383483887
12,8,12,0.3308115005493164
13,9,13,0.2777576446533203
14,9,14,0.26548027992248535
15,10,15,0.28981781005859375
16,10,16,0.28206777572631836
17,12,17,0.27367734909057617
18,16,18,0.36286282539367676
19,14,19,0.3849811553955078
20,14,20,0.30467820167541504
21,15,21,0.34437131881713867
22,16,22,0.32051801681518555
23,19,23,0.844174861907959
24,18,24,0.8402960300445557
25,19,25,0.7789058685302734
26,22,26,1.109443187713623
27,21,27,0.6737356185913086
28,22,28,2.7695388793945312
29,24,29,0.8050386905670166
30,20,30,0.7312896251678467
31,19,31,0.7130899429321289
32,27,32,54.21139597892761
33,23,33,1.126297950744629
34,21,34,0.6163730621337891
35,22,35,1.2527995109558105
36,23,36,0.49002504348754883
37,27,37,30.274513483047485
38,19,38,0.754431962966919
39,29,39,9.114894151687622
40,20,40,0.6810016632080078
15,25,40,1.1484975814819336
15,25,40,2.154162883758545
15,25,40,0.6590583324432373
30,28,61,300.2433650493622
30,29,61,300.2692177295685
30,28,60,0.784414529800415
60,73,92,300.73020458221436
