device width,number of chips,h,solve time
8,4,8,0.40709710121154785
9,5,9,0.3994886875152588
10,6,10,0.42427682876586914
11,7,11,0.4236273765563965
12,8,12,0.4048628807067871
13,9,13,0.4512789249420166
14,9,14,0.38300180435180664
15,10,15,0.4084808826446533
16,10,16,0.42832469940185547
17,12,17,0.40349674224853516
18,16,18,0.5192596912384033
19,14,19,0.7036440372467041
20,14,20,0.45742130279541016
21,15,21,0.4311556816101074
22,16,22,0.48615336418151855
23,19,23,1.7739040851593018
24,18,24,0.9117472171783447
25,19,25,1.051260232925415
26,22,26,1.4438393115997314
27,21,27,1.6450321674346924
28,22,28,1.3568320274353027
29,24,29,1.870093822479248
30,20,30,2.2506542205810547
31,19,31,1.3141989707946777
32,27,32,26.533567667007446
33,23,33,2.4077439308166504
34,21,34,1.3490943908691406
35,22,35,1.0545730590820312
36,23,36,2.319936752319336
37,27,37,38.16537427902222
38,19,38,0.8654210567474365
39,29,40,300.31227707862854
40,20,40,1.9554874897003174
15,25,40,8.38942265510559
15,25,40,1.3686513900756836
15,25,40,0.6378653049468994
30,28,60,75.04649543762207
30,29,61,300.32875657081604
30,28,60,5.586712837219238
