device width,number of chips,h,solve time
8,4,8,0.3864626884460449
9,5,9,0.49651384353637695
10,6,10,0.4128298759460449
11,7,11,0.3714439868927002
12,8,12,0.3915550708770752
13,9,13,0.3905947208404541
14,9,14,0.3918323516845703
15,10,15,0.4160881042480469
16,10,16,0.45794081687927246
17,12,17,0.4965693950653076
18,16,18,0.5352811813354492
19,14,19,0.5829367637634277
20,14,20,0.45603084564208984
21,15,21,0.44641995429992676
22,16,22,0.4484548568725586
23,19,23,1.1153137683868408
24,18,24,1.0759994983673096
25,19,25,1.0253121852874756
26,22,26,1.4423482418060303
27,21,27,1.0840535163879395
28,22,28,3.283912420272827
29,24,29,0.9540970325469971
30,20,30,0.9265556335449219
31,19,31,0.8700928688049316
32,27,32,67.30156970024109
33,23,33,1.4023382663726807
34,21,34,0.8806722164154053
35,22,35,1.6293296813964844
36,23,36,0.6988377571105957
37,27,37,38.19688296318054
38,19,38,1.0097925662994385
39,29,39,11.445319890975952
40,20,40,0.917473316192627
15,25,40,1.6129727363586426
15,25,40,2.8801348209381104
15,25,40,0.841747522354126
30,28,61,300.2661907672882
30,29,61,300.34630012512207
30,28,60,1.267914056777954
