device width,number of chips,h,solve time
8,4,8,0.2746574878692627
9,5,9,0.293759822845459
10,6,10,0.26340627670288086
11,7,11,0.26140356063842773
12,8,12,0.27922868728637695
13,9,13,0.29764318466186523
14,9,14,0.31174731254577637
15,10,15,0.348827600479126
16,10,16,0.3565554618835449
17,12,17,0.3868680000305176
18,16,18,0.9406418800354004
19,14,19,0.5132722854614258
20,14,20,0.4915127754211426
21,15,21,0.5624890327453613
22,16,22,0.6287429332733154
23,19,23,3.3702025413513184
24,18,24,2.579451322555542
25,19,25,2.4308719635009766
26,22,26,6.623070240020752
27,21,27,5.253355026245117
28,22,28,10.980079889297485
29,24,29,30.730415105819702
30,20,30,6.974747657775879
31,19,31,1.3822858333587646
32,27,32,229.13276600837708
33,23,33,17.062620639801025
34,21,34,6.717021703720093
35,22,35,51.988818407058716
36,23,36,4.687806129455566
37,27,38,300.3160619735718
38,19,38,16.371874570846558
39,29,40,300.254759311676
40,20,40,1.7118415832519531
15,25,40,11.042024850845337
15,25,40,2.0501232147216797
15,25,40,1.8323931694030762
30,28,61,300.249187707901
30,29,60,47.88941192626953
30,28,60,162.34914112091064
60,73,92,300.9998137950897
