device width,number of chips,h,solve time
8,4,8,0.3719305992126465
9,5,9,0.3768947124481201
10,6,10,0.3959953784942627
11,7,11,0.32778286933898926
12,8,12,0.3814675807952881
13,9,13,0.36777806282043457
14,9,14,0.41477394104003906
15,10,15,0.45052218437194824
16,10,16,0.4849984645843506
17,12,17,0.5785293579101562
18,16,18,2.9731171131134033
19,14,19,0.9267468452453613
20,14,20,0.9402236938476562
21,15,21,1.1125144958496094
22,16,22,1.2281200885772705
23,19,23,3.42427134513855
24,18,24,4.771464824676514
25,19,25,6.4982428550720215
26,22,26,12.266229629516602
27,21,27,22.130075454711914
28,22,28,10.941137313842773
29,24,29,213.95796418190002
30,20,30,74.03526663780212
31,19,31,1.158022165298462
32,27,33,300.21844601631165
33,23,33,8.902148485183716
34,21,34,5.134079933166504
35,22,35,38.691224098205566
36,23,36,12.870921611785889
37,27,38,300.2025022506714
38,19,38,2.2214136123657227
39,29,40,300.212265253067
40,20,40,2.4995622634887695
15,25,40,1.8698747158050537
15,25,40,3.2131006717681885
15,25,40,2.611736536026001
30,28,61,300.21488428115845
30,29,61,300.224249124527
30,28,60,24.22150230407715
60,73,92,300.81881070137024
