device width,number of chips,h,solve time
8,4,8,0.35754847526550293
9,5,9,0.37946438789367676
10,6,10,0.4409506320953369
11,7,11,0.5432019233703613
12,8,12,0.49230003356933594
13,9,13,0.5717804431915283
14,9,14,0.45092320442199707
15,10,15,0.5823733806610107
16,10,16,0.44649457931518555
17,12,17,0.568082332611084
18,16,18,1.697779893875122
19,14,19,0.9578533172607422
20,14,20,0.6259269714355469
21,15,21,2.5773186683654785
22,16,22,0.6429438591003418
23,19,23,8.911619901657104
24,18,24,1.1509106159210205
25,19,25,1.633598804473877
26,22,26,7.669257402420044
27,21,27,8.187750339508057
28,22,28,78.0886812210083
29,24,29,82.85614943504333
30,20,30,114.31313133239746
31,19,31,2.568101406097412
32,27,32,95.0916657447815
33,23,33,1.2379353046417236
34,21,34,8.928900003433228
35,22,35,12.550708055496216
36,23,36,36.512590408325195
37,27,38,300.2646834850311
38,19,38,3.426708459854126
39,29,40,787.6896424293518
40,20,40,37.058600187301636
15,25,40,4.9957873821258545
15,25,40,2.6462178230285645
15,25,40,3.7333106994628906
30,28,61,300.23342847824097
30,29,60,133.30151104927063
30,28,61,300.27797770500183
60,73,92,300.81261563301086
