,instance,height,time,solution type
ins-1,1,8,0.4609813690185547,optimal
ins-2,2,9,0.3655316829681396,optimal
ins-3,3,10,0.3455612659454345,optimal
ins-4,4,11,0.3095903396606445,optimal
ins-5,5,12,0.2980709075927734,optimal
ins-6,6,13,0.3055942058563232,optimal
ins-7,7,14,0.324462890625,optimal
ins-8,8,15,0.3199493885040283,optimal
ins-9,9,16,0.314399242401123,optimal
ins-10,10,17,0.3236727714538574,optimal
ins-11,11,18,0.3958332538604736,optimal
ins-12,12,19,0.3547484874725342,optimal
ins-13,13,20,0.3512024879455566,optimal
ins-14,14,21,0.3932995796203613,optimal
ins-15,15,22,0.4841673374176025,optimal
ins-16,16,23,0.4077157974243164,optimal
ins-17,17,24,0.7610089778900146,optimal
ins-18,18,25,0.410109281539917,optimal
ins-19,19,26,5.087216377258301,optimal
ins-20,20,27,0.701467752456665,optimal
ins-21,21,28,3.98549485206604,optimal
ins-22,22,29,40.54625582695007,optimal
ins-23,23,30,0.4226696491241455,optimal
ins-24,24,31,0.3935904502868652,optimal
ins-25,25,32,29.728863954544067,optimal
ins-26,26,33,0.5807821750640869,optimal
ins-27,27,34,0.6993987560272217,optimal
ins-28,28,35,0.7887320518493652,optimal
ins-29,29,36,0.4916329383850097,optimal
ins-30,30,37,61.25177121162415,optimal
ins-31,31,38,0.517174482345581,optimal
ins-32,32,39,0.5010263919830322,optimal
ins-33,33,40,0.3978743553161621,optimal
ins-34,34,40,2.29866361618042,optimal
ins-35,35,40,0.5203597545623779,optimal
ins-36,36,40,2.883157253265381,optimal
ins-37,37,60,23.252822637557983,optimal
ins-38,38,60,80.4680769443512,optimal
ins-39,39,60,11.4915132522583,optimal
ins-40,40,92,300.8522984981537,non-optimal
