device width,number of chips,h,solve time,solution tipe
8,4,8,0.32155394554138184,optimal
9,5,9,0.3381991386413574,optimal
10,6,10,0.28698253631591797,optimal
11,7,11,0.26883459091186523,optimal
12,8,12,0.29381775856018066,optimal
13,9,13,0.2698791027069092,optimal
14,9,14,0.364016056060791,optimal
15,10,15,0.2855188846588135,optimal
16,10,16,0.279799222946167,optimal
17,12,17,0.2869260311126709,optimal
18,16,18,0.3114330768585205,optimal
19,14,19,0.3192322254180908,optimal
20,14,20,0.30280566215515137,optimal
21,15,21,0.32866978645324707,optimal
22,16,22,0.30919575691223145,optimal
23,19,23,0.3620483875274658,optimal
24,18,24,0.6803414821624756,optimal
25,19,25,0.39389824867248535,optimal
26,22,26,5.031621694564819,optimal
27,21,27,0.667877197265625,optimal
28,22,28,3.309077501296997,optimal
29,24,29,42.14528727531433,optimal
30,20,30,0.3969542980194092,optimal
31,19,31,0.4206717014312744,optimal
32,27,32,27.847830057144165,optimal
33,23,33,0.5605204105377197,optimal
34,21,34,0.7238874435424805,optimal
35,22,35,0.7318098545074463,optimal
36,23,36,0.4026217460632324,optimal
37,27,37,58.21064829826355,optimal
38,19,38,0.5027585029602051,optimal
39,29,39,0.4937624931335449,optimal
40,20,40,0.3809638023376465,optimal
15,25,40,2.311373710632324,optimal
15,25,40,0.43285083770751953,optimal
15,25,40,2.510822057723999,optimal
30,28,60,22.148581981658936,optimal
30,29,60,79.90586543083191,optimal
30,28,60,13.794297218322754,optimal
60,73,92,300.76068019866943,non-optimal
