,instance,height,time,solution type
ins-1,1,8,0.4146420955657959,optimal
ins-2,2,9,0.4725618362426758,optimal
ins-3,3,10,0.4531388282775879,optimal
ins-4,4,11,0.3883669376373291,optimal
ins-5,5,12,0.4055845737457275,optimal
ins-6,6,13,0.471393346786499,optimal
ins-7,7,14,0.4268460273742676,optimal
ins-8,8,15,0.5493388175964355,optimal
ins-9,9,16,0.4467556476593017,optimal
ins-10,10,17,0.4877398014068603,optimal
ins-11,11,18,1.346839427947998,optimal
ins-12,12,19,1.2392520904541016,optimal
ins-13,13,20,0.7395792007446289,optimal
ins-14,14,21,48.70625829696655,optimal
ins-15,15,22,1.875561237335205,optimal
ins-16,16,23,11.532612562179564,optimal
ins-17,17,24,7.078929424285889,optimal
ins-18,18,25,10.85701584815979,optimal
ins-19,19,26,163.71312546730042,optimal
ins-20,20,27,6.890367269515991,optimal
ins-21,21,28,108.63022303581238,optimal
ins-22,22,30,922.8668766021729,non-optimal
ins-23,23,31,15546.16670536995,non-optimal
ins-24,24,31,2.411313772201538,optimal
ins-25,25,34,18941.74977660179,non-optimal
ins-26,26,33,139.7969994544983,optimal
ins-27,27,34,37.22374415397644,optimal
ins-28,28,35,27.92849969863892,optimal
ins-29,29,36,104.5920159816742,optimal
ins-30,30,38,300.2808647155762,non-optimal
ins-31,31,38,2.7289042472839355,optimal
ins-32,32,40,300.3167531490326,non-optimal
ins-33,33,40,3.2130205631256104,optimal
ins-34,34,40,208.85261869430545,optimal
ins-35,35,40,58.10999989509583,optimal
ins-36,36,40,5.816079139709473,optimal
ins-37,37,61,300.29225611686707,non-optimal
ins-38,38,61,300.3836307525635,non-optimal
ins-39,39,61,300.30358123779297,non-optimal
ins-40,40,92,300.82748079299927,non-optimal
