,instance,height,time,solution type
ins-1,1,8,0.4405150413513183,optimal
ins-2,2,9,0.4802377223968506,optimal
ins-3,3,10,0.6222012042999268,optimal
ins-4,4,11,0.4827253818511963,optimal
ins-5,5,12,0.455613374710083,optimal
ins-6,6,13,0.3040831089019775,optimal
ins-7,7,14,0.361624002456665,optimal
ins-8,8,15,0.3471724987030029,optimal
ins-9,9,16,0.3291687965393066,optimal
ins-10,10,17,0.3376431465148926,optimal
ins-11,11,18,1.0157737731933594,optimal
ins-12,12,19,0.7808218002319336,optimal
ins-13,13,20,0.520789623260498,optimal
ins-14,14,21,0.5019688606262207,optimal
ins-15,15,22,0.5844564437866211,optimal
ins-16,16,23,1.942088842391968,optimal
ins-17,17,24,0.6625936031341553,optimal
ins-18,18,25,0.5807788372039795,optimal
ins-19,19,26,1.6602587699890137,optimal
ins-20,20,27,1.7643742561340332,optimal
ins-21,21,28,1.809248447418213,optimal
ins-22,22,29,7.614842176437378,optimal
ins-23,23,30,2.680174827575684,optimal
ins-24,24,31,1.1318676471710205,optimal
ins-25,25,32,34.63745355606079,optimal
ins-26,26,33,7.266273975372314,optimal
ins-27,27,34,1.947521686553955,optimal
ins-28,28,35,3.264576911926269,optimal
ins-29,29,36,2.870436429977417,optimal
ins-30,30,37,112.84410524368286,optimal
ins-31,31,38,0.5469677448272705,optimal
ins-32,32,40,300.2257936000824,non-optimal
ins-33,33,40,0.5619933605194092,optimal
ins-34,34,40,1.1141009330749512,optimal
ins-35,35,40,0.790416955947876,optimal
ins-36,36,40,1.3541500568389893,optimal
ins-37,37,60,82.47041869163513,optimal
ins-38,38,60,213.99909329414368,optimal
ins-39,39,60,10.522449016571043,optimal
ins-40,40,92,300.8331308364868,non-optimal
