,instance,height,time,solution type
ins-1,1,8.0,0.3559231758117676,optimal
ins-2,2,9.0,0.3367266654968261,optimal
ins-3,3,10.0,0.3321597576141357,optimal
ins-4,4,11.0,0.326535701751709,optimal
ins-5,5,12.0,0.3146660327911377,optimal
ins-6,6,13.0,0.3433423042297363,optimal
ins-7,7,14.0,0.3638143539428711,optimal
ins-8,8,15.0,0.3861091136932373,optimal
ins-9,9,16.0,0.3302521705627441,optimal
ins-10,10,17.0,0.4067809581756592,optimal
ins-11,11,19.0,300.1258909702301,non-optimal
ins-12,12,19.0,0.4280574321746826,optimal
ins-13,13,20.0,0.3534202575683594,optimal
ins-14,14,21.0,1.6804394721984863,optimal
ins-15,15,22.0,0.345473051071167,optimal
ins-16,16,24.0,300.15402388572693,non-optimal
ins-17,17,24.0,5.390026330947876,optimal
ins-18,18,25.0,1.4427125453948977,optimal
ins-19,19,27.0,300.1381618976593,non-optimal
ins-20,20,27.0,52.635525703430176,optimal
ins-21,21,28.0,12.174183130264282,optimal
ins-22,22,30.0,300.12225914001465,non-optimal
ins-23,23,31.0,300.1222367286682,non-optimal
ins-24,24,31.0,45.70842266082764,optimal
ins-25,25,35.0,300.17924427986145,non-optimal
ins-26,26,33.0,9.741003513336182,optimal
ins-27,27,34.0,49.06657791137695,optimal
ins-28,28,36.0,300.1338746547699,non-optimal
ins-29,29,,300.0,N|A
ins-30,30,38.0,300.1372253894806,non-optimal
ins-31,31,40.0,300.1244878768921,non-optimal
ins-32,32,42.0,300.17474269866943,non-optimal
ins-33,33,42.0,300.1133670806885,non-optimal
ins-34,34,41.0,300.1422555446625,non-optimal
ins-35,35,41.0,300.130295753479,non-optimal
ins-36,36,41.0,300.1480429172516,non-optimal
ins-37,37,66.0,300.1521074771881,non-optimal
ins-38,38,61.0,300.14732456207275,non-optimal
ins-39,39,61.0,300.15014386177063,non-optimal
ins-40,40,,300.0,N|A
