device width,number of chips,h,solve time,solution tipe
8,4,8,0.47451186180114746,optimal
9,5,9,0.3767549991607666,optimal
10,6,10,0.4871675968170166,optimal
11,7,11,0.4552042484283447,optimal
12,8,12,0.9219398498535156,optimal
13,9,13,0.4391474723815918,optimal
14,9,14,0.484086275100708,optimal
15,10,15,0.4551703929901123,optimal
16,10,16,0.44423484802246094,optimal
17,12,17,0.4949021339416504,optimal
18,16,19,300.16573333740234,non-optimal
19,14,19,0.6109943389892578,optimal
20,14,20,0.5426523685455322,optimal
21,15,21,1.541043758392334,optimal
22,16,22,0.4593334197998047,optimal
23,19,24,300.15095925331116,non-optimal
24,18,24,7.086613893508911,optimal
25,19,25,2.1263747215270996,optimal
26,22,27,300.1423044204712,non-optimal
27,21,27,144.10111236572266,optimal
28,22,28,37.368903160095215,optimal
29,24,30,300.19143509864807,non-optimal
30,20,31,300.1963379383087,non-optimal
31,19,31,65.92573738098145,optimal
32,27,35,300.14288806915283,non-optimal
33,23,33,13.390467405319214,optimal
34,21,34,78.66049313545227,optimal
35,22,36,300.1411018371582,non-optimal
,,,300,not-found
37,27,38,300.17631459236145,non-optimal
38,19,40,300.1623101234436,non-optimal
39,29,42,300.1807351112366,non-optimal
40,20,42,300.0886881351471,non-optimal
15,25,41,300.1041626930237,non-optimal
15,25,41,300.118656873703,non-optimal
15,25,41,300.11914348602295,non-optimal
30,28,66,300.1270754337311,non-optimal
30,29,61,300.1525399684906,non-optimal
30,28,61,300.131560087204,non-optimal
,,,300,not-found
