device width,number of chips,h,solve time,solution tipe
8,4,8,0.8019397258758545,optimal
9,5,9,0.36966943740844727,optimal
10,6,10,0.3129448890686035,optimal
11,7,11,0.30002355575561523,optimal
12,8,12,0.28897929191589355,optimal
13,9,13,0.29679131507873535,optimal
14,9,14,0.29029321670532227,optimal
15,10,15,0.33163905143737793,optimal
16,10,16,0.30739474296569824,optimal
17,12,17,0.36846017837524414,optimal
18,16,19,300.10221004486084,non-optimal
19,14,19,0.47556614875793457,optimal
20,14,20,14.566282033920288,optimal
21,15,21,218.42199873924255,optimal
22,16,22,9.268143892288208,optimal
23,19,24,300.1204791069031,non-optimal
24,18,32,300.13228821754456,non-optimal
25,19,25,40.05231189727783,optimal
26,22,27,300.1212372779846,non-optimal
,,,300,not-found
28,22,28,13.206658840179443,optimal
29,24,30,300.12330079078674,non-optimal
30,20,31,300.10926055908203,non-optimal
31,19,31,196.98805689811707,optimal
32,27,35,300.1231381893158,non-optimal
33,23,34,300.1233744621277,non-optimal
34,21,42,300.102835893631,non-optimal
35,22,36,300.10744309425354,non-optimal
,,,300,not-found
37,27,38,300.12481451034546,non-optimal
38,19,52,300.10506677627563,non-optimal
39,29,40,300.1222143173218,non-optimal
40,20,42,300.10489869117737,non-optimal
15,25,41,300.1301782131195,non-optimal
15,25,41,300.1617293357849,non-optimal
15,25,41,546.9617321491241,non-optimal
30,28,62,300.151629447937,non-optimal
30,29,61,300.18918466567993,non-optimal
30,28,61,300.207968711853,non-optimal
,,,300,not-found
