,instance,height,time,solution type
ins-1,1,8.0,0.3751645088195801,optimal
ins-2,2,9.0,0.3478689193725586,optimal
ins-3,3,10.0,0.3563287258148193,optimal
ins-4,4,11.0,0.3141748905181885,optimal
ins-5,5,12.0,0.4544551372528076,optimal
ins-6,6,13.0,0.3081347942352295,optimal
ins-7,7,14.0,0.3450689315795898,optimal
ins-8,8,15.0,0.367851972579956,optimal
ins-9,9,16.0,0.3572769165039062,optimal
ins-10,10,17.0,0.4044985771179199,optimal
ins-11,11,19.0,300.1090455055237,non-optimal
ins-12,12,19.0,0.5231761932373047,optimal
ins-13,13,20.0,14.27290940284729,optimal
ins-14,14,21.0,171.6906213760376,optimal
ins-15,15,22.0,8.957643270492554,optimal
ins-16,16,24.0,300.1333131790161,non-optimal
ins-17,17,32.0,300.1194312572479,non-optimal
ins-18,18,25.0,36.78041005134583,optimal
ins-19,19,27.0,300.1437947750092,non-optimal
ins-20,20,,300.0,N|A
ins-21,21,28.0,12.329779386520386,optimal
ins-22,22,30.0,300.14850664138794,non-optimal
ins-23,23,31.0,300.1386661529541,non-optimal
ins-24,24,31.0,184.2810616493225,optimal
ins-25,25,35.0,300.14678049087524,non-optimal
ins-26,26,34.0,300.1300663948059,non-optimal
ins-27,27,42.0,300.12664556503296,non-optimal
ins-28,28,36.0,300.11629986763,non-optimal
ins-29,29,,300.0,N|A
ins-30,30,38.0,300.17071437835693,non-optimal
ins-31,31,52.0,300.1368832588196,non-optimal
ins-32,32,40.0,300.15388536453247,non-optimal
ins-33,33,42.0,300.14883852005005,non-optimal
ins-34,34,41.0,300.1379280090332,non-optimal
ins-35,35,41.0,300.14937591552734,non-optimal
ins-36,36,41.0,300.1669192314148,non-optimal
ins-37,37,62.0,300.17996048927307,non-optimal
ins-38,38,61.0,300.1921389102936,non-optimal
ins-39,39,61.0,300.15370202064514,non-optimal
ins-40,40,,300.0,N|A
