,instance,height,time,solution type
ins-1,1,8,0.4619574546813965,optimal
ins-2,2,9,0.5378708839416504,optimal
ins-3,3,10,0.4808406829833984,optimal
ins-4,4,11,0.4607257843017578,optimal
ins-5,5,12,0.7447941303253174,optimal
ins-6,6,13,0.7854976654052734,optimal
ins-7,7,14,0.8338260650634766,optimal
ins-8,8,15,1.0745141506195068,optimal
ins-9,9,16,1.3416180610656738,optimal
ins-10,10,17,1.7183575630187988,optimal
ins-11,11,18,3.860379934310913,optimal
ins-12,12,19,3.728640556335449,optimal
ins-13,13,20,2.65156888961792,optimal
ins-14,14,21,4.531623363494873,optimal
ins-15,15,22,4.383225917816162,optimal
ins-16,16,23,16.439874410629272,optimal
ins-17,17,24,11.318068265914915,optimal
ins-18,18,25,12.04049825668335,optimal
ins-19,19,26,23.552542448043823,optimal
ins-20,20,27,21.44041466712952,optimal
ins-21,21,28,22.004636526107788,optimal
ins-22,22,29,24.556857585906982,optimal
ins-23,23,30,23.248607635498047,optimal
ins-24,24,31,19.51421070098877,optimal
ins-25,25,33,300.87229681015015,non-optimal
ins-26,26,33,31.5416476726532,optimal
ins-27,27,34,24.775819540023804,optimal
ins-28,28,35,23.130475521087646,optimal
ins-29,29,36,28.426656246185303,optimal
ins-30,30,38,300.4675590991974,non-optimal
ins-31,31,38,18.246617317199707,optimal
ins-32,32,40,300.5217022895813,non-optimal
ins-33,33,40,21.3369255065918,optimal
ins-34,34,40,24.398086309432983,optimal
ins-35,35,40,25.54294419288636,optimal
ins-36,36,40,28.422860383987427,optimal
ins-37,37,61,300.9868381023407,non-optimal
ins-38,38,61,300.29159450531006,non-optimal
ins-39,39,60,128.76802349090576,optimal
ins-40,40,92,303.5672550201416,non-optimal
