device width,number of chips,h,solve time,solution tipe
8,4,8,0.4393649101257324,optimal
9,5,9,0.6596434116363525,optimal
10,6,10,0.6628077030181885,optimal
11,7,11,0.8012068271636963,optimal
12,8,12,1.1021778583526611,optimal
13,9,13,1.3152611255645752,optimal
14,9,14,1.168088674545288,optimal
15,10,15,1.779618501663208,optimal
16,10,16,1.924715280532837,optimal
17,12,17,2.647799491882324,optimal
18,16,18,5.337085962295532,optimal
19,14,19,5.263597249984741,optimal
20,14,20,4.148083686828613,optimal
21,15,21,6.531352996826172,optimal
22,16,22,6.6829833984375,optimal
23,19,23,26.46830916404724,optimal
24,18,24,18.243858814239502,optimal
25,19,25,19.96613597869873,optimal
26,22,26,32.35099387168884,optimal
27,21,27,28.107094049453735,optimal
28,22,28,29.080585718154907,optimal
29,24,29,33.860310316085815,optimal
30,20,30,29.220521211624146,optimal
31,19,31,26.245080709457397,optimal
32,27,33,300.25819873809814,non-optimal
33,23,33,42.275607109069824,optimal
34,21,34,33.537707805633545,optimal
35,22,35,30.8549222946167,optimal
36,23,36,37.984203815460205,optimal
37,27,38,282.28426694869995,optimal
38,19,38,25.244008541107178,optimal
,,,300,not-found
40,20,40,34.913657665252686,optimal
15,25,40,36.880399227142334,optimal
15,25,40,33.940473318099976,optimal
15,25,40,38.77583956718445,optimal
30,28,61,288.78781843185425,optimal
30,29,61,294.6768546104431,optimal
30,28,60,175.268883228302,optimal
60,73,92,285.60861229896545,optimal
