device width,number of chips,h,solve time,solution tipe
8,4,8,0.5393905639648438,optimal
9,5,9,0.511507511138916,optimal
10,6,10,0.6542806625366211,optimal
11,7,11,0.7350375652313232,optimal
12,8,12,0.8576507568359375,optimal
13,9,13,1.1896018981933594,optimal
14,9,14,1.1756234169006348,optimal
15,10,15,2.374131679534912,optimal
16,10,16,1.5769178867340088,optimal
17,12,17,2.7342207431793213,optimal
18,16,18,4.737206220626831,optimal
19,14,19,3.5481905937194824,optimal
20,14,20,4.0055930614471436,optimal
21,15,21,5.212684869766235,optimal
22,16,22,8.192901134490967,optimal
23,19,23,22.083564043045044,optimal
24,18,24,14.477007150650024,optimal
25,19,25,15.056982278823853,optimal
26,22,26,31.408987045288086,optimal
27,21,27,20.356518507003784,optimal
28,22,28,30.044102907180786,optimal
29,24,29,60.79448485374451,optimal
30,20,30,27.500207662582397,optimal
31,19,31,26.769794940948486,optimal
32,27,32,171.14888882637024,optimal
33,23,33,39.93803381919861,optimal
34,21,34,33.72223877906799,optimal
35,22,35,31.788999319076538,optimal
36,23,37,4874.303857326508,non-optimal
,,,300,not-found
38,19,38,60.48720455169678,optimal
39,29,40,288.44188690185547,optimal
40,20,40,41.200024366378784,optimal
15,25,40,50.763627767562866,optimal
15,25,40,34.651606798172,optimal
15,25,40,34.48257637023926,optimal
30,28,60,155.3163902759552,optimal
30,29,61,287.62747836112976,optimal
30,28,61,289.2340612411499,optimal
60,73,92,301.34614777565,non-optimal
