,instance,height,time,solution type
ins-1,1,8,0.8170297145843506,optimal
ins-2,2,9,0.5478127002716064,optimal
ins-3,3,10,0.566718578338623,optimal
ins-4,4,11,0.4649407863616943,optimal
ins-5,5,12,0.4863266944885254,optimal
ins-6,6,13,0.5246644020080566,optimal
ins-7,7,14,0.4956941604614258,optimal
ins-8,8,15,0.5129294395446777,optimal
ins-9,9,16,0.673856258392334,optimal
ins-10,10,17,0.5188109874725342,optimal
ins-11,11,18,1.317882776260376,optimal
ins-12,12,19,1.0902578830718994,optimal
ins-13,13,20,0.9601390361785888,optimal
ins-14,14,21,0.859971284866333,optimal
ins-15,15,22,0.7233092784881592,optimal
ins-16,16,23,5.319375276565552,optimal
ins-17,17,-,-1.0,N|A
ins-18,18,-,-1.0,N|A
ins-19,19,-,-1.0,N|A
ins-20,20,-,-1.0,N|A
ins-21,21,-,-1.0,N|A
ins-22,22,-,-1.0,N|A
ins-23,23,-,-1.0,N|A
ins-24,24,-,-1.0,N|A
ins-25,25,-,-1.0,N|A
ins-26,26,-,-1.0,N|A
ins-27,27,-,-1.0,N|A
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,
