,instance,height,time,solution type
ins-1,1,8,0.3850300312042236,optimal
ins-2,2,9,0.4672844409942627,optimal
ins-3,3,10,0.4731080532073974,optimal
ins-4,4,11,0.4553449153900146,optimal
ins-5,5,12,0.5795106887817383,optimal
ins-6,6,13,0.7292208671569824,optimal
ins-7,7,14,0.834327220916748,optimal
ins-8,8,15,1.214296817779541,optimal
ins-9,9,16,1.124770164489746,optimal
ins-10,10,17,1.6377761363983154,optimal
ins-11,11,18,3.379411220550537,optimal
ins-12,12,19,2.5733139514923096,optimal
ins-13,13,20,2.899223566055298,optimal
ins-14,14,21,3.775097370147705,optimal
ins-15,15,22,6.1703269481658936,optimal
ins-16,16,23,16.564359188079834,optimal
ins-17,17,24,10.471805334091188,optimal
ins-18,18,25,11.411144256591797,optimal
ins-19,19,26,23.77103042602539,optimal
ins-20,20,27,14.861412048339844,optimal
ins-21,21,28,22.329221487045288,optimal
ins-22,22,29,46.581578493118286,optimal
ins-23,23,30,20.81737518310547,optimal
ins-24,24,31,20.21747660636902,optimal
ins-25,25,32,126.66756129264832,optimal
ins-26,26,33,30.43842625617981,optimal
ins-27,27,34,26.02321052551269,optimal
ins-28,28,35,23.951262950897217,optimal
ins-29,29,36,64.80311918258667,optimal
ins-30,30,38,300.65734910964966,non-optimal
ins-31,31,38,18.370973587036133,optimal
ins-32,32,40,300.4701218605041,non-optimal
ins-33,33,40,21.90305495262146,optimal
ins-34,34,40,43.04410338401794,optimal
ins-35,35,40,25.822158336639404,optimal
ins-36,36,40,25.19933652877808,optimal
ins-37,37,60,105.86439037322998,optimal
ins-38,38,61,300.0544195175171,non-optimal
ins-39,39,60,252.7095229625702,optimal
ins-40,40,92,302.6620285511017,non-optimal
