device width,number of chips,h,solve time
8,4,8,0.35205817222595215
9,5,9,0.34726428985595703
10,6,10,0.36406588554382324
11,7,11,0.3994731903076172
12,8,12,0.4053332805633545
13,9,13,0.3593752384185791
14,9,14,0.3812406063079834
15,10,15,0.39061832427978516
16,10,16,0.3664422035217285
17,12,17,0.4573659896850586
18,16,18,0.40625643730163574
19,14,19,0.4218575954437256
20,14,20,0.3905951976776123
21,15,21,0.5155432224273682
22,16,22,0.4999370574951172
23,19,23,0.48438239097595215
24,18,24,0.9117000102996826
25,19,25,0.5000436305999756
26,22,26,5.866654634475708
27,21,27,0.9532549381256104
28,22,28,4.760864019393921
29,24,29,45.735488414764404
30,20,30,0.5348258018493652
31,19,31,0.5421459674835205
32,27,32,32.70722556114197
33,23,33,0.7909018993377686
34,21,34,0.9047496318817139
35,22,35,0.9654567241668701
36,23,36,0.5265436172485352
37,27,37,66.93675255775452
38,19,38,1.7481207847595215
39,29,39,0.6692664623260498
40,20,40,0.46175479888916016
15,25,40,3.1870527267456055
15,25,40,0.5669958591461182
15,25,40,3.272662878036499
30,28,60,27.694100379943848
30,29,60,86.10801410675049
30,28,60,13.592827320098877
60,73,92,324.29942536354065
