device width,number of chips,h,solve time
8,4,8,0.24583911895751953
9,5,9,0.25841641426086426
10,6,10,0.27108144760131836
11,7,11,0.26487207412719727
12,8,12,0.26744961738586426
13,9,13,0.3231210708618164
14,9,14,0.2962462902069092
15,10,15,0.3047490119934082
16,10,16,0.3034532070159912
17,12,17,0.32155275344848633
18,16,18,0.3420412540435791
19,14,19,0.3327755928039551
20,14,20,0.3269941806793213
21,15,21,0.3639068603515625
22,16,22,0.3462677001953125
23,19,23,0.37584757804870605
24,18,24,0.7319598197937012
25,19,25,0.41436123847961426
26,22,26,4.738487243652344
27,21,27,0.6445639133453369
28,22,28,3.5054211616516113
29,24,29,3.345391035079956
30,20,30,0.4050285816192627
31,19,31,0.38495707511901855
32,27,32,30.195911169052124
33,23,33,0.518690824508667
34,21,34,0.6246097087860107
35,22,35,0.6450517177581787
36,23,36,0.39325547218322754
37,27,37,60.54213786125183
38,19,38,0.5030782222747803
39,29,39,0.4719846248626709
40,20,40,0.346240758895874
15,25,40,2.2565865516662598
15,25,40,0.4108593463897705
15,25,40,2.4177193641662598
30,28,60,23.680076360702515
30,29,60,82.52372622489929
30,28,60,11.068614959716797
60,73,92,300.6916356086731
