device width,number of chips,h,solve time
8,4,8,0.41837453842163086
9,5,9,0.3750028610229492
10,6,10,0.34485602378845215
11,7,11,0.36121273040771484
12,8,12,0.4960958957672119
13,9,13,0.4737720489501953
14,9,14,0.4563908576965332
15,10,15,0.4987294673919678
16,10,16,0.5094091892242432
17,12,17,0.4887995719909668
18,16,18,1.3855040073394775
19,14,19,0.5449860095977783
20,14,20,0.5939595699310303
21,15,21,0.479323148727417
22,16,22,0.6918001174926758
23,19,23,2.7131166458129883
24,18,24,0.9227924346923828
25,19,25,0.6018493175506592
26,22,26,2.0650112628936768
27,21,27,2.160292387008667
28,22,28,2.297153949737549
29,24,29,9.659927606582642
30,20,30,2.938809394836426
31,19,31,1.2623493671417236
32,27,32,37.948782444000244
33,23,33,8.169570684432983
34,21,34,2.482130765914917
35,22,35,3.7880213260650635
36,23,36,3.0253472328186035
37,27,37,130.47246646881104
38,19,38,0.7509269714355469
39,29,40,358.4916317462921
40,20,40,0.7463421821594238
15,25,40,1.2915515899658203
15,25,40,0.953118085861206
15,25,40,2.212095022201538
30,28,60,96.67746233940125
30,29,61,1285.3647809028625
30,28,60,13.937068700790405
60,73,92,301.1419644355774
