device width,number of chips,h,solve time
8,4,8,0.298198938369751
9,5,9,0.34102845191955566
10,6,10,0.310774564743042
11,7,11,0.3036978244781494
12,8,12,0.3082547187805176
13,9,13,0.3243687152862549
14,9,14,0.3597221374511719
15,10,15,0.3451364040374756
16,10,16,0.3227503299713135
17,12,17,0.3441765308380127
18,16,18,2.502441167831421
19,14,19,0.49429869651794434
20,14,20,0.579827070236206
21,15,21,0.4672856330871582
22,16,22,0.589972734451294
23,19,23,50.216054916381836
24,18,24,0.5842015743255615
25,19,25,1.1973774433135986
26,22,26,120.41629910469055
27,21,27,3.0612049102783203
28,22,28,3.425769329071045
29,24,30,300.11889147758484
30,20,30,2.5633580684661865
31,19,31,1.5491020679473877
32,27,32,197.61943531036377
33,23,33,57.386826038360596
34,21,34,2.4375691413879395
35,22,35,1.1431925296783447
36,23,36,4.27495002746582
37,27,38,300.17211842536926
38,19,38,3.6591298580169678
39,29,40,300.15302634239197
40,20,40,0.8849225044250488
15,25,40,203.70934987068176
15,25,40,11.946186780929565
15,25,40,0.9444842338562012
30,28,61,300.16325783729553
30,29,61,300.1616129875183
30,28,61,300.1542685031891
0,0,0, 300
