,instance,height,time,solution type
ins-1,1,8,0.3880035877227783,optimal
ins-2,2,9,0.4426546096801758,optimal
ins-3,3,10,0.3344767093658447,optimal
ins-4,4,11,0.5706124305725098,optimal
ins-5,5,12,0.376145601272583,optimal
ins-6,6,13,0.4272584915161133,optimal
ins-7,7,14,0.3561344146728515,optimal
ins-8,8,15,0.4101293087005615,optimal
ins-9,9,16,0.4044666290283203,optimal
ins-10,10,17,0.4480412006378174,optimal
ins-11,11,18,1.3606698513031006,optimal
ins-12,12,19,0.5576989650726318,optimal
ins-13,13,20,0.480194091796875,optimal
ins-14,14,21,0.5505845546722412,optimal
ins-15,15,22,0.6637144088745117,optimal
ins-16,16,23,3.4101431369781494,optimal
ins-17,17,24,2.583479642868042,optimal
ins-18,18,25,2.4584312438964844,optimal
ins-19,19,26,8.270886421203613,optimal
ins-20,20,27,7.1094970703125,optimal
ins-21,21,28,12.072556018829346,optimal
ins-22,22,29,36.54616141319275,optimal
ins-23,23,30,8.518387079238892,optimal
ins-24,24,31,1.5686378479003906,optimal
ins-25,25,32,251.143660068512,optimal
ins-26,26,33,15.552063941955566,optimal
ins-27,27,34,6.553359746932983,optimal
ins-28,28,35,42.71522784233093,optimal
ins-29,29,36,3.146525621414185,optimal
ins-30,30,38,300.2366211414337,non-optimal
ins-31,31,38,17.3798770904541,optimal
ins-32,32,40,300.2343120574951,non-optimal
ins-33,33,40,1.2809898853302002,optimal
ins-34,34,40,10.517616987228394,optimal
ins-35,35,40,1.860312461853028,optimal
ins-36,36,40,1.7394347190856934,optimal
ins-37,37,61,300.21306467056274,non-optimal
ins-38,38,60,48.92421841621399,optimal
ins-39,39,60,204.00029039382932,optimal
ins-40,40,92,300.959668397903,non-optimal
