device width,number of chips,h,solve time,solution tipe
8,4,8,0.3640778064727783,optimal
9,5,9,0.2843441963195801,optimal
10,6,10,0.28914332389831543,optimal
11,7,11,0.32361602783203125,optimal
12,8,12,0.36618733406066895,optimal
13,9,13,0.33522844314575195,optimal
14,9,14,0.3668196201324463,optimal
15,10,15,0.39472246170043945,optimal
16,10,16,0.37703490257263184,optimal
17,12,17,0.43147706985473633,optimal
18,16,18,1.0823400020599365,optimal
19,14,19,0.6214292049407959,optimal
20,14,20,0.5338926315307617,optimal
21,15,21,0.6110332012176514,optimal
22,16,22,0.7545485496520996,optimal
23,19,23,3.453434467315674,optimal
24,18,24,2.577350378036499,optimal
25,19,25,2.433245897293091,optimal
26,22,26,6.472137928009033,optimal
27,21,27,5.3147454261779785,optimal
28,22,28,11.153217792510986,optimal
29,24,29,36.68113374710083,optimal
30,20,30,6.977009296417236,optimal
31,19,31,1.4458045959472656,optimal
32,27,32,262.91737389564514,optimal
33,23,33,15.342370748519897,optimal
34,21,34,5.931018114089966,optimal
35,22,35,39.45622277259827,optimal
36,23,36,3.095412492752075,optimal
37,27,38,300.2662601470947,non-optimal
38,19,38,16.287779092788696,optimal
39,29,40,300.24346709251404,non-optimal
40,20,40,1.3132917881011963,optimal
15,25,40,11.65893840789795,optimal
15,25,40,1.7276816368103027,optimal
15,25,40,1.9231724739074707,optimal
30,28,61,300.21542024612427,non-optimal
30,29,60,50.12876629829407,optimal
30,28,60,176.73979949951172,optimal
60,73,92,300.82880306243896,non-optimal
