device width,number of chips,h,solve time,solution tipe
8,4,8,0.3545522689819336,optimal
9,5,9,0.3136892318725586,optimal
10,6,10,0.26768016815185547,optimal
11,7,11,0.28351545333862305,optimal
12,8,12,0.32958388328552246,optimal
13,9,13,0.30487799644470215,optimal
14,9,14,0.32514405250549316,optimal
15,10,15,0.3633613586425781,optimal
16,10,16,0.3847203254699707,optimal
17,12,17,0.5183207988739014,optimal
18,16,18,2.590657949447632,optimal
19,14,19,0.76651930809021,optimal
20,14,20,0.7072749137878418,optimal
21,15,21,1.0183544158935547,optimal
22,16,22,1.08648681640625,optimal
23,19,23,3.073307991027832,optimal
24,18,24,4.02231502532959,optimal
25,19,25,5.886210203170776,optimal
26,22,26,11.317993402481079,optimal
27,21,27,20.48331570625305,optimal
28,22,28,9.746630668640137,optimal
29,24,29,195.7345724105835,optimal
30,20,30,72.50713753700256,optimal
31,19,31,1.1261296272277832,optimal
32,27,33,300.2122917175293,non-optimal
33,23,33,8.920071363449097,optimal
34,21,34,5.104337453842163,optimal
35,22,35,39.57500505447388,optimal
36,23,36,12.922129154205322,optimal
37,27,38,300.21285820007324,non-optimal
38,19,38,2.2943286895751953,optimal
39,29,40,300.207635641098,non-optimal
40,20,40,2.507382869720459,optimal
15,25,40,1.8579576015472412,optimal
15,25,40,3.3135483264923096,optimal
15,25,40,2.575026750564575,optimal
30,28,61,300.2231948375702,non-optimal
30,29,61,300.22684836387634,non-optimal
30,28,60,24.84500288963318,optimal
60,73,92,300.8420090675354,non-optimal
