,instance,height,time,solution type
ins-1,1,8,0.4918498992919922,optimal
ins-2,2,9,0.3704690933227539,optimal
ins-3,3,10,0.3792238235473633,optimal
ins-4,4,11,0.4158239364624023,optimal
ins-5,5,12,0.4394881725311279,optimal
ins-6,6,13,0.4883875846862793,optimal
ins-7,7,14,0.5547351837158203,optimal
ins-8,8,15,0.5436768531799316,optimal
ins-9,9,16,0.5720562934875488,optimal
ins-10,10,17,0.6032450199127197,optimal
ins-11,11,18,106.311137676239,optimal
ins-12,12,19,34.97832655906677,optimal
ins-13,13,20,2.035658121109009,optimal
ins-14,14,21,1.4170560836791992,optimal
ins-15,15,22,2.7546517848968506,optimal
ins-16,16,23,49.52640008926392,optimal
ins-17,17,24,4.7689292430877686,optimal
ins-18,18,25,1.8070051670074463,optimal
ins-19,19,26,29.567891359329224,optimal
ins-20,20,27,35.31170153617859,optimal
ins-21,21,29,300.4881539344788,non-optimal
ins-22,22,30,300.40276408195496,non-optimal
ins-23,23,30,258.6277937889099,optimal
ins-24,24,31,4.554000377655029,optimal
