,instance,height,time,solution type
ins-1,1,8,0.5069940090179443,optimal
ins-2,2,9,0.4605631828308105,optimal
ins-3,3,10,0.464712381362915,optimal
ins-4,4,11,0.3994126319885254,optimal
ins-5,5,12,0.4482314586639404,optimal
ins-6,6,13,0.4846241474151611,optimal
ins-7,7,14,0.559751033782959,optimal
ins-8,8,15,0.5195374488830566,optimal
ins-9,9,16,0.5771815776824951,optimal
ins-10,10,17,0.7125327587127686,optimal
ins-11,11,18,3.989960670471192,optimal
ins-12,12,19,1.1455447673797607,optimal
ins-13,13,20,0.9517042636871338,optimal
ins-14,14,21,1.7244727611541748,optimal
ins-15,15,22,2.3094232082366943,optimal
ins-16,16,23,4.757138252258301,optimal
ins-17,17,24,6.523563861846924,optimal
ins-18,18,25,8.277137994766235,optimal
ins-19,19,26,30.47901940345764,optimal
ins-20,20,27,51.07514548301697,optimal
ins-21,21,28,21.368359088897705,optimal
ins-22,22,30,300.300452709198,non-optimal
ins-23,23,30,96.36593317985536,optimal
ins-24,24,31,1.5140206813812256,optimal
ins-25,25,33,300.7534387111664,non-optimal
ins-26,26,33,12.342617273330688,optimal
ins-27,27,34,5.649871349334717,optimal
ins-28,28,35,43.33590626716614,optimal
ins-29,29,36,14.202659368515016,optimal
ins-30,30,38,300.2374105453491,non-optimal
ins-31,31,38,2.293994426727295,optimal
ins-32,32,40,300.2327687740326,non-optimal
ins-33,33,40,2.707427501678467,optimal
ins-34,34,40,2.122763633728028,optimal
ins-35,35,40,3.59603214263916,optimal
ins-36,36,40,2.6594932079315186,optimal
ins-37,37,61,300.2298228740692,non-optimal
ins-38,38,61,300.2518265247345,non-optimal
ins-39,39,60,30.975720167160038,optimal
ins-40,40,92,300.8178553581238,non-optimal
