,instance,height,time,solution type
ins-1,1,8.0,0.7608418464660645,optimal
ins-2,2,9.0,0.6957976818084717,optimal
ins-3,3,10.0,0.587899923324585,optimal
ins-4,4,11.0,0.7686841487884521,optimal
ins-5,5,12.0,0.8904721736907959,optimal
ins-6,6,13.0,1.311856746673584,optimal
ins-7,7,14.0,6.837196111679077,optimal
ins-8,8,15.0,4.798262119293213,optimal
ins-9,9,16.0,36.01864314079285,optimal
ins-10,10,17.0,58.24827766418457,optimal
ins-11,11,,300.0,N|A
ins-12,12,,300.0,N|A
ins-13,13,21.0,1392.6289155483246,non-optimal
ins-14,14,22.0,300.18417525291443,non-optimal
ins-15,15,,300.0,N|A
ins-16,16,25.0,300.11627221107483,non-optimal
ins-17,17,25.0,300.08966302871704,non-optimal
ins-18,18,,300.0,N|A
ins-19,19,27.0,300.12081146240234,non-optimal
ins-20,20,30.0,31268.640097379684,non-optimal
ins-21,21,,300.0,N|A
ins-22,22,,300.0,N|A
ins-23,23,32.0,300.25361943244934,non-optimal
ins-24,24,34.0,300.1777210235596,non-optimal
ins-25,25,44.0,300.2928056716919,non-optimal
ins-26,26,39.0,300.2056231498718,non-optimal
ins-27,27,37.0,300.214891910553,non-optimal
ins-28,28,38.0,300.250833272934,non-optimal
ins-29,29,39.0,300.25019454956055,non-optimal
ins-30,30,,300.0,N|A
ins-31,31,,300.0,N|A
ins-32,32,48.0,300.29438185691833,non-optimal
ins-33,33,43.0,300.1859350204468,non-optimal
ins-34,34,,300.0,N|A
ins-35,35,45.0,300.2605175971985,non-optimal
ins-36,36,41.0,300.2905287742615,non-optimal
ins-37,37,,300.0,N|A
ins-38,38,,300.0,N|A
ins-39,39,66.0,300.2202432155609,non-optimal
ins-40,40,,300.0,N|A
