device width,number of chips,h,solve time,solution tipe
8,4,8,0.5401420593261719,optimal
9,5,9,0.31880760192871094,optimal
10,6,10,0.29147887229919434,optimal
11,7,11,0.2845122814178467,optimal
12,8,12,0.2847859859466553,optimal
13,9,13,0.5599210262298584,optimal
14,9,14,3.7571117877960205,optimal
15,10,15,3.1489200592041016,optimal
16,10,16,27.816792249679565,optimal
17,12,17,48.420682430267334,optimal
,,,300,not-found
,,,300,not-found
20,14,21,300.1017587184906,non-optimal
21,15,22,300.1235797405243,non-optimal
,,,300,not-found
23,19,25,300.1424660682678,non-optimal
24,18,25,300.1086208820343,non-optimal
,,,300,not-found
26,22,27,300.1160681247711,non-optimal
27,21,29,300.11340713500977,non-optimal
,,,300,not-found
,,,300,not-found
30,20,32,300.11662554740906,non-optimal
31,19,34,300.0923683643341,non-optimal
32,27,44,300.127010345459,non-optimal
33,23,39,300.11045241355896,non-optimal
34,21,37,300.11164379119873,non-optimal
35,22,38,300.124808549881,non-optimal
36,23,39,300.1245930194855,non-optimal
,,,300,not-found
,,,300,not-found
39,29,48,300.1390163898468,non-optimal
40,20,43,300.11656308174133,non-optimal
,,,300,not-found
15,25,45,300.13016152381897,non-optimal
15,25,41,300.1168546676636,non-optimal
,,,300,not-found
,,,300,not-found
30,28,66,300.1405465602875,non-optimal
,,,300,not-found
