device width,number of chips,h,solve time,solution tipe
8,4,8,0.26740169525146484,optimal
9,5,9,0.29851293563842773,optimal
10,6,10,0.2833831310272217,optimal
11,7,11,0.2857534885406494,optimal
12,8,12,0.29840755462646484,optimal
13,9,13,0.4486215114593506,optimal
14,9,14,3.369398832321167,optimal
15,10,15,1.602686882019043,optimal
16,10,16,15.767889499664307,optimal
17,12,17,29.051640033721924,optimal
,,,300,not-found
,,,300,not-found
20,14,21,300.0884530544281,non-optimal
21,15,22,300.09553837776184,non-optimal
,,,300,not-found
23,19,25,300.0946595668793,non-optimal
24,18,25,300.1076588630676,non-optimal
,,,300,not-found
26,22,27,300.1240863800049,non-optimal
27,21,29,300.1091914176941,non-optimal
,,,300,not-found
,,,300,not-found
30,20,32,300.11505365371704,non-optimal
31,19,34,300.1026201248169,non-optimal
32,27,44,300.12405490875244,non-optimal
33,23,39,300.1243851184845,non-optimal
34,21,37,300.1173367500305,non-optimal
35,22,38,300.11250615119934,non-optimal
36,23,39,300.12736916542053,non-optimal
37,27,39,300.1268095970154,non-optimal
,,,300,not-found
39,29,48,300.13844656944275,non-optimal
40,20,43,300.1103413105011,non-optimal
15,25,45,300.1211156845093,non-optimal
15,25,44,300.1174097061157,non-optimal
15,25,41,300.12799406051636,non-optimal
,,,300,not-found
,,,300,not-found
30,28,62,300.15190863609314,non-optimal
,,,300,not-found
