,instance,height,time,solution type
ins-1,1,8.0,0.3263359069824219,optimal
ins-2,2,9.0,0.3160009384155273,optimal
ins-3,3,10.0,0.3119771480560303,optimal
ins-4,4,11.0,0.2929387092590332,optimal
ins-5,5,12.0,0.3647017478942871,optimal
ins-6,6,13.0,0.5057382583618164,optimal
ins-7,7,14.0,3.662686347961426,optimal
ins-8,8,15.0,1.5926015377044678,optimal
ins-9,9,16.0,16.163796424865723,optimal
ins-10,10,17.0,31.842692375183105,optimal
ins-11,11,,300.0,N|A
ins-12,12,,300.0,N|A
ins-13,13,21.0,300.09411787986755,non-optimal
ins-14,14,22.0,300.1256139278412,non-optimal
ins-15,15,,300.0,N|A
ins-16,16,25.0,300.1126682758332,non-optimal
ins-17,17,25.0,300.11434149742126,non-optimal
ins-18,18,,300.0,N|A
ins-19,19,27.0,300.1285462379456,non-optimal
ins-20,20,29.0,300.147189617157,non-optimal
ins-21,21,,300.0,N|A
ins-22,22,,300.0,N|A
ins-23,23,32.0,300.1365809440613,non-optimal
ins-24,24,34.0,300.1188654899597,non-optimal
ins-25,25,44.0,300.1559052467346,non-optimal
ins-26,26,39.0,300.1307823657989,non-optimal
ins-27,27,37.0,300.1450045108795,non-optimal
ins-28,28,38.0,300.17051935195923,non-optimal
ins-29,29,39.0,300.12131690979004,non-optimal
ins-30,30,39.0,300.1391446590424,non-optimal
ins-31,31,,300.0,N|A
ins-32,32,48.0,300.16799569129944,non-optimal
ins-33,33,43.0,300.1291897296905,non-optimal
ins-34,34,45.0,300.1483578681946,non-optimal
ins-35,35,44.0,300.12145256996155,non-optimal
ins-36,36,41.0,300.13046407699585,non-optimal
ins-37,37,,300.0,N|A
ins-38,38,,300.0,N|A
ins-39,39,62.0,300.1389629840851,non-optimal
ins-40,40,,300.0,N|A
