,instance,height,time,solution type
ins-1,1,8,0.3679087162017822,optimal
ins-2,2,9,0.505728006362915,optimal
ins-3,3,10,0.5489976406097412,optimal
ins-4,4,11,0.6207458972930908,optimal
ins-5,5,12,1.072321891784668,optimal
ins-6,6,13,1.400073528289795,optimal
ins-7,7,14,1.7502470016479492,optimal
ins-8,8,15,2.645427942276001,optimal
ins-9,9,16,2.256617307662964,optimal
ins-10,10,17,3.7500407695770255,optimal
ins-11,11,18,18.62283158302307,optimal
ins-12,12,19,8.405693054199219,optimal
ins-13,13,20,10.75744128227234,optimal
ins-14,14,21,11.36532711982727,optimal
ins-15,15,22,36.046528816223145,optimal
ins-16,16,23,101.92745399475098,optimal
ins-17,17,24,32.65570902824402,optimal
ins-18,18,26,300.5897989273072,non-optimal
ins-19,19,26,165.6014883518219,optimal
ins-20,20,27,133.45821809768677,optimal
ins-21,21,29,300.0164194107056,non-optimal
ins-22,22,30,300.6052258014679,non-optimal
ins-23,23,30,194.4963002204895,optimal
ins-24,24,31,46.57375431060791,optimal
ins-25,25,33,300.9330565929413,non-optimal
ins-26,26,33,200.1311469078064,optimal
ins-27,27,34,66.05210971832275,optimal
ins-28,28,35,35.90693926811218,optimal
ins-29,29,36,135.28182339668274,optimal
ins-30,30,38,300.3332426548004,non-optimal
ins-31,31,38,39.36079668998718,optimal
ins-32,32,40,300.4102365970612,non-optimal
ins-33,33,40,237.61213541030884,optimal
ins-34,34,40,55.08658981323242,optimal
ins-35,35,40,50.780343532562256,optimal
ins-36,36,40,38.12370181083679,optimal
ins-37,37,61,300.4809658527374,non-optimal
ins-38,38,61,302.03210973739624,non-optimal
ins-39,39,61,300.9731161594391,non-optimal
ins-40,40,230,306.63037490844727,non-optimal
