device width,number of chips,h,solve time,solution tipe
8,4,8,0.408355712890625,optimal
9,5,9,0.5174522399902344,optimal
10,6,10,0.49955272674560547,optimal
11,7,11,0.5638039112091064,optimal
12,8,12,0.9725668430328369,optimal
13,9,13,1.019481897354126,optimal
14,9,14,1.4694061279296875,optimal
15,10,15,2.45497989654541,optimal
16,10,16,2.234100341796875,optimal
17,12,17,3.477044105529785,optimal
18,16,18,20.702584266662598,optimal
19,14,19,7.7408716678619385,optimal
20,14,20,8.081421613693237,optimal
21,15,21,9.119735717773438,optimal
22,16,22,27.910003900527954,optimal
23,19,23,79.30318975448608,optimal
24,18,24,32.501171588897705,optimal
25,19,26,296.1676216125488,optimal
26,22,26,159.47077703475952,optimal
27,21,27,143.38680481910706,optimal
28,22,29,294.2303202152252,optimal
29,24,30,295.3473081588745,optimal
30,20,30,179.7352659702301,optimal
31,19,31,52.22946810722351,optimal
32,27,33,294.53684759140015,optimal
33,23,33,197.33659029006958,optimal
34,21,34,54.940099477767944,optimal
35,22,35,32.00780892372131,optimal
36,23,36,122.68483924865723,optimal
37,27,38,288.65209674835205,optimal
38,19,38,40.24503946304321,optimal
39,29,40,291.0713016986847,optimal
40,20,40,253.83827662467957,optimal
15,25,40,50.20916986465454,optimal
15,25,40,51.266180753707886,optimal
15,25,40,44.50371956825256,optimal
30,28,61,298.67179703712463,optimal
30,29,61,294.913037776947,optimal
30,28,61,293.3210096359253,optimal
60,73,117,305.94389820098877,non-optimal
