device width,number of chips,h,solve time,solution tipe
8,4,8,0.4919157028198242,optimal
9,5,9,0.7351078987121582,optimal
10,6,10,0.7208476066589355,optimal
11,7,11,0.7506046295166016,optimal
12,8,12,1.544142484664917,optimal
13,9,13,1.068209171295166,optimal
14,9,14,1.3748903274536133,optimal
15,10,15,2.140599012374878,optimal
16,10,16,2.5654075145721436,optimal
17,12,17,4.214306831359863,optimal
18,16,18,18.094765424728394,optimal
19,14,19,10.978013515472412,optimal
20,14,20,8.396321535110474,optimal
21,15,21,19.49439239501953,optimal
22,16,22,32.09869933128357,optimal
23,19,23,87.26286482810974,optimal
24,18,24,40.234726905822754,optimal
25,19,26,296.41633009910583,optimal
26,22,27,291.4379348754883,optimal
27,21,27,245.76347470283508,optimal
28,22,29,288.2973117828369,optimal
29,24,30,293.9218657016754,optimal
30,20,31,293.7237148284912,optimal
31,19,31,20.61522912979126,optimal
32,27,33,292.2524824142456,optimal
33,23,33,61.11067795753479,optimal
34,21,34,106.27604746818542,optimal
35,22,36,299.43349528312683,optimal
36,23,36,65.30219721794128,optimal
37,27,38,291.6179926395416,optimal
38,19,38,33.21100378036499,optimal
39,29,40,284.6914303302765,optimal
40,20,40,47.9220654964447,optimal
15,25,40,53.743557929992676,optimal
15,25,40,32.26156163215637,optimal
15,25,40,28.494816064834595,optimal
30,28,61,295.0051567554474,optimal
30,29,61,293.7006161212921,optimal
30,28,61,286.3501160144806,optimal
60,73,292,278.3638594150543,optimal
