,instance,height,time,solution type
ins-1,1,8,0.3795468807220459,optimal
ins-2,2,9,0.3656446933746338,optimal
ins-3,3,10,0.3190042972564697,optimal
ins-4,4,11,0.3281035423278808,optimal
ins-5,5,12,0.3719561100006103,optimal
ins-6,6,13,0.3356530666351318,optimal
ins-7,7,14,0.3527743816375732,optimal
ins-8,8,15,0.4696578979492187,optimal
ins-9,9,16,2.0676803588867188,optimal
ins-10,10,17,0.471668004989624,optimal
ins-11,11,18,49.72701048851013,optimal
ins-12,12,19,5.705946445465088,optimal
ins-13,13,20,1.5296225547790527,optimal
ins-14,14,21,5.336684942245483,optimal
ins-15,15,22,6.20061731338501,optimal
ins-16,16,24,300.2460298538208,non-optimal
ins-17,17,24,36.324413537979126,optimal
ins-18,18,25,22.03115701675415,optimal
ins-19,19,27,300.92043113708496,non-optimal
ins-20,20,28,300.8500783443451,non-optimal
ins-21,21,29,300.03585171699524,non-optimal
ins-22,22,30,300.8328893184662,non-optimal
ins-23,23,30,90.67624640464784,optimal
ins-24,24,31,7.889097690582275,optimal
ins-25,25,33,300.9465777873993,non-optimal
ins-26,26,33,11.210002183914185,optimal
ins-27,27,34,10.43671488761902,optimal
ins-28,28,35,9.502755641937256,optimal
ins-29,29,36,292.74567914009094,optimal
ins-30,30,38,300.49398827552795,non-optimal
ins-31,31,38,67.95692133903503,optimal
ins-32,32,40,300.9099473953247,non-optimal
ins-33,33,40,24.85474705696106,optimal
ins-34,34,40,52.10291314125061,optimal
ins-35,35,40,12.603845119476318,optimal
ins-36,36,40,12.410949468612673,optimal
ins-37,37,61,300.2966949939728,non-optimal
ins-38,38,61,300.1126899719238,non-optimal
ins-39,39,61,300.98095440864563,non-optimal
ins-40,40,92,300.7832598686218,non-optimal
