device width,number of chips,h,solve time
8,4,8,0.4200882911682129
9,5,9,0.42804956436157227
10,6,10,0.4422616958618164
11,7,11,0.40250182151794434
12,8,12,0.45346808433532715
13,9,13,0.4859354496002197
14,9,14,0.5239388942718506
15,10,15,0.5404946804046631
16,10,16,0.5867998600006104
17,12,17,0.6499111652374268
18,16,18,1.463104009628296
19,14,19,0.8558559417724609
20,14,20,0.7358572483062744
21,15,21,0.941460371017456
22,16,22,0.9373903274536133
23,19,23,5.36245322227478
24,18,24,3.6971704959869385
25,19,25,3.5597167015075684
26,22,26,10.219112634658813
27,21,27,7.803899049758911
28,22,28,15.732969999313354
29,24,29,49.07812428474426
30,20,30,10.582037210464478
31,19,31,2.2413203716278076
32,27,33,300.31781029701233
33,23,33,21.694990873336792
34,21,34,8.654045104980469
35,22,35,56.548670530319214
36,23,36,4.401827096939087
37,27,38,300.31996989250183
38,19,38,25.467951774597168
39,29,40,300.30801725387573
40,20,40,1.9228835105895996
15,25,40,13.469055414199829
15,25,40,2.33357834815979
15,25,40,2.396275043487549
30,28,61,301.01003408432007
30,29,61,302.89571833610535
30,28,61,303.3084228038788
60,73,92,301.4096395969391
