device width,number of chips,h,solve time
8,4,8,0.26090478897094727
9,5,9,0.2853560447692871
10,6,10,0.31784605979919434
11,7,11,0.28140711784362793
12,8,12,0.3228728771209717
13,9,13,0.30614709854125977
14,9,14,0.33856940269470215
15,10,15,0.37036609649658203
16,10,16,0.3555912971496582
17,12,17,0.4205632209777832
18,16,18,1.002885341644287
19,14,19,0.5964610576629639
20,14,20,0.5208053588867188
21,15,21,0.6285150051116943
22,16,22,0.7637898921966553
23,19,23,3.6550207138061523
24,18,24,2.779656410217285
25,19,25,2.610447883605957
26,22,26,6.819326400756836
27,21,27,5.453973293304443
28,22,28,12.71499752998352
29,24,29,38.48134899139404
30,20,30,6.803496837615967
31,19,31,1.344421148300171
32,27,32,254.9819848537445
33,23,33,16.16908836364746
34,21,34,5.568524360656738
35,22,35,43.02650570869446
36,23,36,2.661184072494507
37,27,38,300.2194628715515
38,19,38,14.523601293563843
39,29,40,300.24059009552
40,20,40,1.1793479919433594
15,25,40,10.030175924301147
15,25,40,1.6231536865234375
15,25,40,1.7087702751159668
30,28,61,300.21403455734253
30,29,60,46.973506689071655
30,28,60,173.19106149673462
60,73,92,300.82780838012695
