device width,number of chips,h,solve time
8,4,8,0.4273533821105957
9,5,9,0.48810887336730957
10,6,10,0.430187463760376
11,7,11,0.46119093894958496
12,8,12,0.5319318771362305
13,9,13,0.535792350769043
14,9,14,0.6341907978057861
15,10,15,0.609321117401123
16,10,16,0.663769006729126
17,12,17,0.854621171951294
18,16,18,3.752289056777954
19,14,19,1.2107212543487549
20,14,20,1.076528787612915
21,15,21,1.4675993919372559
22,16,22,1.9022302627563477
23,19,23,4.945493698120117
24,18,24,6.415904760360718
25,19,25,9.484344720840454
26,22,26,32.17185187339783
27,21,27,69.38465332984924
28,22,28,15.651884317398071
29,24,29,226.8828101158142
30,20,30,100.78943061828613
31,19,31,1.712061882019043
32,27,33,300.288024187088
33,23,33,13.17790150642395
34,21,34,7.328153610229492
35,22,35,57.89055299758911
36,23,36,18.124303579330444
37,27,38,300.3031642436981
38,19,38,3.222104549407959
39,29,40,300.2589318752289
40,20,40,3.1105074882507324
15,25,40,2.3119406700134277
15,25,40,3.919447898864746
15,25,40,3.206610918045044
30,28,61,300.2494807243347
30,29,61,300.2603931427002
30,28,60,30.229295015335083
60,73,92,300.9821124076843
