device width,number of chips,h,solve time
8,4,8,0.27019715309143066
9,5,9,0.2769174575805664
10,6,10,0.26380252838134766
11,7,11,0.2720754146575928
12,8,12,0.38464975357055664
13,9,13,0.27575206756591797
14,9,14,0.3333148956298828
15,10,15,0.3542957305908203
16,10,16,0.34821152687072754
17,12,17,0.33432459831237793
18,16,18,1.0621426105499268
19,14,19,0.5811138153076172
20,14,20,0.38947582244873047
21,15,21,1.6284105777740479
22,16,22,0.41352295875549316
23,19,23,7.121133327484131
24,18,24,0.8162298202514648
25,19,25,1.4030930995941162
26,22,26,6.016352891921997
27,21,27,6.684366703033447
28,22,28,33.747671127319336
29,24,29,28.142231941223145
30,20,30,98.93846583366394
31,19,31,1.827573299407959
32,27,32,86.62409210205078
33,23,33,0.7993247509002686
34,21,34,6.221556186676025
35,22,35,9.237263679504395
36,23,36,32.370561838150024
37,27,38,300.16677498817444
38,19,38,2.47257924079895
39,29,40,300.19374990463257
40,20,40,33.762248516082764
15,25,40,4.005754470825195
15,25,40,1.8563847541809082
15,25,40,2.8472867012023926
30,28,61,300.16086435317993
30,29,60,125.20122838020325
30,28,61,300.1653687953949
60,73,92,300.6054263114929
