ID,STD Chuffed,CML Chuffed,SYB Chuffed,STD Gecode,CML Gecode,SYB Gecode,STD Or-T.,CML Or-T.,SYB Or-T.
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},N|A,\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},N|A,\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},N|A,\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},N|A,\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},N|A,\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},N|A,\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},\textbf{18},\textbf{18},N|A,19,19,\textbf{18},\textbf{18},\textbf{18}
12,\textbf{19},\textbf{19},\textbf{19},N|A,\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},N|A,\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},N|A,\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21}
15,\textbf{22},\textbf{22},\textbf{22},N|A,\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22}
16,\textbf{23},\textbf{23},\textbf{23},N|A,24,24,\textbf{23},\textbf{23},\textbf{23}
17,\textbf{24},\textbf{24},\textbf{24},N|A,\textbf{24},32,\textbf{24},\textbf{24},\textbf{24}
18,\textbf{25},\textbf{25},\textbf{25},N|A,\textbf{25},\textbf{25},\textbf{25},\textbf{25},\textbf{25}
19,\textbf{26},\textbf{26},\textbf{26},N|A,27,27,\textbf{26},\textbf{26},\textbf{26}
20,\textbf{27},\textbf{27},\textbf{27},N|A,\textbf{27},N|A,\textbf{27},\textbf{27},\textbf{27}
21,\textbf{28},\textbf{28},\textbf{28},N|A,\textbf{28},\textbf{28},\textbf{28},\textbf{28},\textbf{28}
22,30,\textbf{29},\textbf{29},N|A,30,30,\textbf{29},\textbf{29},\textbf{29}
23,31,\textbf{30},\textbf{30},N|A,31,31,\textbf{30},\textbf{30},\textbf{30}
24,\textbf{31},\textbf{31},\textbf{31},N|A,\textbf{31},\textbf{31},\textbf{31},\textbf{31},\textbf{31}
25,34,\textbf{32},\textbf{32},N|A,35,35,\textbf{32},33,\textbf{32}
26,\textbf{33},\textbf{33},\textbf{33},N|A,\textbf{33},34,\textbf{33},\textbf{33},\textbf{33}
27,\textbf{34},\textbf{34},\textbf{34},N|A,\textbf{34},42,\textbf{34},\textbf{34},\textbf{34}
28,\textbf{35},\textbf{35},\textbf{35},N|A,36,36,\textbf{35},\textbf{35},\textbf{35}
29,\textbf{36},\textbf{36},\textbf{36},N|A,N|A,N|A,\textbf{36},\textbf{36},\textbf{36}
30,38,\textbf{37},\textbf{37},N|A,38,38,\textbf{37},38,38
31,\textbf{38},\textbf{38},\textbf{38},N|A,40,52,\textbf{38},\textbf{38},\textbf{38}
32,40,\textbf{39},40,N|A,42,40,41,40,40
33,\textbf{40},\textbf{40},\textbf{40},N|A,42,42,\textbf{40},\textbf{40},\textbf{40}
34,\textbf{40},\textbf{40},\textbf{40},N|A,41,41,41,\textbf{40},\textbf{40}
35,\textbf{40},\textbf{40},\textbf{40},N|A,41,41,\textbf{40},\textbf{40},\textbf{40}
36,\textbf{40},\textbf{40},\textbf{40},N|A,41,41,\textbf{40},\textbf{40},\textbf{40}
37,61,\textbf{60},\textbf{60},N|A,66,62,61,61,\textbf{60}
38,61,\textbf{60},\textbf{60},N|A,61,61,61,61,61
39,61,\textbf{60},\textbf{60},N|A,61,61,\textbf{60},\textbf{60},\textbf{60}
40,92,92,92,N|A,N|A,N|A,92,92,92
