,instance,height,time,solution type
ins-1,1,8.0,0.3439999999999998,optimal
ins-2,2,9.0,0.0469999999999999,optimal
ins-3,3,10.0,0.062,optimal
ins-4,4,11.0,0.078,optimal
ins-5,5,12.0,0.0939999999999999,optimal
ins-6,6,13.0,0.1099999999999999,optimal
ins-7,7,14.0,0.125,optimal
ins-8,8,15.0,0.109,optimal
ins-9,9,16.0,0.093,optimal
ins-10,10,17.0,0.4059999999999999,optimal
ins-11,11,18.0,126.407,optimal
ins-12,12,19.0,0.266,optimal
ins-13,13,20.0,0.4379999999999999,optimal
ins-14,14,21.0,11.313,optimal
ins-15,15,22.0,3.719,optimal
ins-16,16,23.0,27.73400000000004,optimal
ins-17,17,24.0,167.14,optimal
ins-18,18,25.0,39.281000000000006,optimal
ins-19,19,27.0,300.14,non-optimal
ins-20,20,28.0,300.172,non-optimal
ins-21,21,29.0,300.078,non-optimal
ins-22,22,30.0,300.125,non-optimal
ins-23,23,31.0,300.3599999999997,non-optimal
ins-24,24,31.0,4.764999999999873,optimal
ins-25,25,33.0,300.172,non-optimal
ins-26,26,34.0,300.1880000000001,non-optimal
ins-27,27,34.0,194.4219999999996,optimal
ins-28,28,36.0,300.09299999999985,non-optimal
ins-29,29,37.0,300.09400000000005,non-optimal
ins-30,30,38.0,300.2029999999995,non-optimal
ins-31,31,39.0,300.1100000000006,non-optimal
ins-32,32,41.0,300.15599999999995,non-optimal
ins-33,33,41.0,300.1090000000004,non-optimal
ins-34,34,41.0,300.1409999999996,non-optimal
ins-35,35,41.0,300.125,non-optimal
ins-36,36,41.0,300.09399999999914,non-optimal
ins-37,37,62.0,300.1720000000005,non-optimal
ins-38,38,62.0,300.2029999999995,non-optimal
ins-39,39,62.0,300.14100000000144,non-optimal
ins-40,40,108.0,300.3130000000001,non-optimal
