,instance,height,time,solution type
ins-1,1,8.0,0.047,optimal
ins-2,2,9.0,0.0319999999999998,optimal
ins-3,3,10.0,0.0469999999999999,optimal
ins-4,4,11.0,0.031,optimal
ins-5,5,12.0,0.063,optimal
ins-6,6,13.0,0.047,optimal
ins-7,7,14.0,0.063,optimal
ins-8,8,15.0,0.078,optimal
ins-9,9,16.0,0.14,optimal
ins-10,10,17.0,0.25,optimal
ins-11,11,18.0,5.547000000000001,optimal
ins-12,12,19.0,0.235,optimal
ins-13,13,20.0,0.516,optimal
ins-14,14,21.0,0.953,optimal
ins-15,15,22.0,1.016,optimal
ins-16,16,24.0,300.406,non-optimal
ins-17,17,24.0,2.625,optimal
ins-18,18,25.0,4.234,optimal
ins-19,19,26.0,73.844,optimal
ins-20,20,27.0,9.469,optimal
ins-21,21,29.0,300.43699999999995,non-optimal
ins-22,22,30.0,300.547,non-optimal
ins-23,23,30.0,7.641,optimal
ins-24,24,31.0,2.796999999999912,optimal
ins-25,25,33.0,300.5,non-optimal
ins-26,26,33.0,26.45299999999997,optimal
ins-27,27,34.0,2.9529999999999994,optimal
ins-28,28,35.0,7.702999999999999,optimal
ins-29,29,36.0,4.734999999999999,optimal
ins-30,30,38.0,300.26500000000004,non-optimal
ins-31,31,38.0,1.0470000000000257,optimal
ins-32,32,40.0,300.172,non-optimal
ins-33,33,40.0,1.3120000000000118,optimal
ins-34,34,40.0,221.0,optimal
ins-35,35,41.0,300.312,non-optimal
ins-36,36,40.0,171.60899999999992,optimal
ins-37,37,61.0,300.2339999999999,non-optimal
ins-38,38,62.0,300.2350000000001,non-optimal
ins-39,39,61.0,300.1880000000001,non-optimal
ins-40,40,100.0,300.2339999999999,non-optimal
