,instance,height,time,solution type
ins-1,1,8.0,0.1560000000000005,optimal
ins-2,2,9.0,0.141,optimal
ins-3,3,10.0,0.125,optimal
ins-4,4,11.0,0.1399999999999999,optimal
ins-5,5,12.0,0.2189999999999998,optimal
ins-6,6,13.0,0.1399999999999996,optimal
ins-7,7,14.0,0.1880000000000001,optimal
ins-8,8,15.0,0.1560000000000001,optimal
ins-9,9,16.0,0.375,optimal
ins-10,10,17.0,0.266,optimal
ins-11,11,18.0,3.3899999999999864,optimal
ins-12,12,19.0,1.0630000000000006,optimal
ins-13,13,20.0,1.2190000000000012,optimal
ins-14,14,21.0,26.125,optimal
ins-15,15,22.0,1.5160000000000051,optimal
ins-16,16,23.0,5.1720000000000255,optimal
ins-17,17,24.0,11.061999999999898,optimal
ins-18,18,25.0,146.687,optimal
ins-19,19,27.0,59.688,non-optimal
ins-20,20,27.0,251.546,optimal
ins-21,21,29.0,299.75,non-optimal
ins-22,22,30.0,299.86,non-optimal
ins-24,24,31.0,18.39099999999962,optimal
ins-25,25,33.0,299.40599999999995,non-optimal
ins-26,26,34.0,299.797,non-optimal
ins-23,23,30.0,145.34400000000005,optimal
ins-27,27,34.0,16.17199999999866,optimal
ins-28,28,35.0,33.43699999999808,optimal
ins-29,29,36.0,155.53099999999995,optimal
ins-30,30,39.0,300.09400000000005,non-optimal
ins-31,31,38.0,3.4060000000026776,optimal
ins-32,32,41.0,299.828,non-optimal
ins-33,33,41.0,299.7350000000001,non-optimal
ins-34,34,41.0,299.78099999999995,non-optimal
ins-35,35,41.0,299.6570000000001,non-optimal
ins-36,36,41.0,299.75,non-optimal
ins-37,37,63.0,299.797,non-optimal
ins-38,38,63.0,299.93800000000056,non-optimal
ins-39,39,62.0,299.8129999999992,non-optimal
ins-40,40,179.0,300.15599999999995,non-optimal
