,instance,height,time,solution type
ins-1,1,8.0,0.0780000000000002,optimal
ins-2,2,9.0,0.0939999999999998,optimal
ins-3,3,10.0,0.141,optimal
ins-4,4,11.0,0.1879999999999999,optimal
ins-5,5,12.0,0.2180000000000002,optimal
ins-6,6,13.0,0.2649999999999999,optimal
ins-7,7,14.0,0.2810000000000001,optimal
ins-8,8,15.0,0.4380000000000001,optimal
ins-9,9,16.0,0.375,optimal
ins-10,10,17.0,0.7970000000000002,optimal
ins-11,11,18.0,10.46799999999996,optimal
ins-12,12,19.0,3.124999999999999,optimal
ins-13,13,20.0,4.406000000000001,optimal
ins-14,14,21.0,21.609999999999992,optimal
ins-15,15,22.0,2.4060000000000006,optimal
ins-16,16,24.0,300.26599999999985,non-optimal
ins-17,17,24.0,7.8589999999999804,optimal
ins-18,18,25.0,8.5,optimal
ins-19,19,26.0,209.6719999999999,optimal
ins-20,20,27.0,108.59400000000004,optimal
ins-21,21,29.0,300.1869999999999,non-optimal
ins-22,22,30.0,300.125,non-optimal
ins-23,23,30.0,26.14099999999962,optimal
ins-24,24,31.0,22.188000000000105,optimal
ins-25,25,34.0,300.21900000000005,non-optimal
ins-26,26,34.0,300.125,non-optimal
ins-27,27,34.0,41.8279999999977,optimal
ins-28,28,36.0,300.14100000000326,non-optimal
ins-29,29,37.0,300.1399999999994,non-optimal
ins-30,30,39.0,300.20300000000134,non-optimal
ins-31,31,38.0,22.96900000000096,optimal
ins-32,32,42.0,300.15699999999924,non-optimal
ins-33,33,40.0,12.6720000000023,optimal
ins-34,34,41.0,300.1869999999981,non-optimal
ins-35,35,41.0,300.14100000000326,non-optimal
ins-36,36,41.0,300.0930000000008,non-optimal
ins-37,37,63.0,300.1399999999994,non-optimal
ins-38,38,64.0,300.2180000000008,non-optimal
ins-39,39,62.0,300.125,non-optimal
ins-40,40,138.0,300.2189999999973,non-optimal
