,instance,height,time,solution type
ins-1,1,8.0,0.0470000000000001,optimal
ins-2,2,9.0,0.0470000000000001,optimal
ins-3,3,10.0,0.046,optimal
ins-4,4,11.0,0.0629999999999999,optimal
ins-5,5,12.0,0.094,optimal
ins-6,6,13.0,0.1089999999999999,optimal
ins-7,7,14.0,0.125,optimal
ins-8,8,15.0,0.0939999999999999,optimal
ins-9,9,16.0,0.0939999999999999,optimal
ins-10,10,17.0,0.4059999999999999,optimal
ins-11,11,18.0,115.422,optimal
ins-12,12,19.0,0.187,optimal
ins-13,13,20.0,0.4220000000000001,optimal
ins-14,14,21.0,12.141000000000002,optimal
ins-15,15,22.0,3.640000000000001,optimal
ins-16,16,23.0,28.375,optimal
ins-17,17,24.0,174.24999999999997,optimal
ins-18,18,25.0,44.156000000000006,optimal
ins-19,19,27.0,300.15599999999995,non-optimal
ins-20,20,28.0,300.1399999999999,non-optimal
ins-21,21,29.0,300.1089999999999,non-optimal
ins-22,22,30.0,300.125,non-optimal
ins-23,23,31.0,300.1100000000006,non-optimal
ins-24,24,31.0,5.516000000000531,optimal
ins-25,25,33.0,300.15599999999995,non-optimal
ins-26,26,34.0,300.1869999999999,non-optimal
ins-27,27,34.0,166.70400000000154,optimal
ins-28,28,36.0,300.1090000000004,non-optimal
ins-29,29,36.0,233.03099999999904,optimal
ins-30,30,38.0,300.125,non-optimal
ins-31,31,39.0,300.10899999999856,non-optimal
ins-32,32,41.0,300.15599999999904,non-optimal
ins-33,33,42.0,300.125,non-optimal
ins-34,34,41.0,300.0779999999995,non-optimal
ins-35,35,41.0,300.09400000000096,non-optimal
ins-36,36,41.0,300.0779999999995,non-optimal
ins-37,37,62.0,300.15700000000106,non-optimal
ins-38,38,62.0,300.17099999999846,non-optimal
ins-39,39,62.0,300.125,non-optimal
ins-40,40,108.0,300.25,non-optimal
