,instance,height,time,solution type
ins-1,1,8.0,0.0309999999999999,optimal
ins-2,2,9.0,0.016,optimal
ins-3,3,10.0,0.0309999999999999,optimal
ins-4,4,11.0,0.031,optimal
ins-5,5,12.0,0.063,optimal
ins-6,6,13.0,0.032,optimal
ins-7,7,14.0,0.0469999999999999,optimal
ins-8,8,15.0,0.062,optimal
ins-9,9,16.0,0.109,optimal
ins-10,10,17.0,0.234,optimal
ins-11,11,18.0,5.734000000000001,optimal
ins-12,12,19.0,0.203,optimal
ins-13,13,20.0,0.4840000000000001,optimal
ins-14,14,21.0,0.953,optimal
ins-15,15,22.0,1.094,optimal
ins-16,16,24.0,300.4220000000001,non-optimal
ins-17,17,24.0,2.328,optimal
ins-18,18,25.0,3.75,optimal
ins-19,19,26.0,75.641,optimal
ins-20,20,27.0,15.202999999999976,optimal
ins-21,21,29.0,300.40599999999995,non-optimal
ins-22,22,30.0,300.3899999999999,non-optimal
ins-23,23,30.0,12.688000000000102,optimal
ins-24,24,31.0,2.186999999999898,optimal
ins-25,25,33.0,300.3899999999999,non-optimal
ins-26,26,33.0,28.7650000000001,optimal
ins-27,27,34.0,4.952999999999975,optimal
ins-28,28,35.0,12.797000000000024,optimal
ins-29,29,36.0,7.530999999999949,optimal
ins-30,30,38.0,300.203,non-optimal
ins-31,31,38.0,0.9220000000000256,optimal
ins-32,32,40.0,300.21799999999985,non-optimal
ins-33,33,40.0,1.7970000000000257,optimal
ins-34,34,40.0,224.75,optimal
ins-35,35,41.0,300.21900000000005,non-optimal
ins-36,36,40.0,175.79700000000005,optimal
ins-37,37,61.0,300.297,non-optimal
ins-38,38,62.0,300.4840000000004,non-optimal
ins-39,39,61.0,300.25,non-optimal
ins-40,40,99.0,300.2039999999997,non-optimal
