,instance,height,time,solution type
ins-1,1,8.0,0.0310000000000001,optimal
ins-2,2,9.0,0.0630000000000006,optimal
ins-3,3,10.0,0.1089999999999999,optimal
ins-4,4,11.0,0.1089999999999999,optimal
ins-5,5,12.0,0.25,optimal
ins-6,6,13.0,0.7969999999999997,optimal
ins-7,7,14.0,0.906,optimal
ins-8,8,15.0,0.2179999999999999,optimal
ins-9,9,16.0,1.1879999999999995,optimal
ins-10,10,17.0,3.657,optimal
ins-11,11,18.0,43.327999999999975,optimal
ins-12,12,19.0,3.1099999999999994,optimal
ins-13,13,20.0,16.797,optimal
ins-14,14,21.0,30.61,optimal
ins-15,15,22.0,14.563,optimal
ins-16,16,24.0,300.047,non-optimal
ins-17,17,24.0,173.95299999999995,optimal
ins-18,18,26.0,300.03100000000006,non-optimal
ins-19,19,28.0,300.0930000000001,non-optimal
ins-20,20,28.0,300.0470000000005,non-optimal
ins-21,21,29.0,300.0470000000005,non-optimal
ins-22,22,31.0,300.07800000000134,non-optimal
ins-23,23,30.0,159.5,optimal
ins-24,24,31.0,46.5619999999999,optimal
ins-25,25,34.0,300.07800000000134,non-optimal
ins-26,26,34.0,300.0619999999999,non-optimal
ins-27,27,35.0,300.0470000000023,non-optimal
ins-28,28,36.0,300.03099999999904,non-optimal
ins-29,29,36.0,82.88999999999942,optimal
ins-30,30,40.0,300.09400000000096,non-optimal
ins-31,31,38.0,25.5,optimal
ins-32,32,42.0,300.0629999999983,non-optimal
ins-33,33,41.0,300.0470000000023,non-optimal
ins-34,34,42.0,300.04699999999866,non-optimal
ins-35,35,41.0,300.03099999999904,non-optimal
ins-36,36,41.0,300.0629999999983,non-optimal
ins-37,37,64.0,300.125,non-optimal
ins-38,38,63.0,300.75,non-optimal
ins-39,39,64.0,300.75,non-optimal
ins-40,40,0.0,300.2189999999973,N|A
