,instance,height,time,solution type
ins-1,1,8.0,0.1399999999999996,optimal
ins-2,2,9.0,0.125,optimal
ins-3,3,10.0,0.1559999999999999,optimal
ins-4,4,11.0,0.141,optimal
ins-5,5,12.0,0.1559999999999997,optimal
ins-6,6,13.0,0.141,optimal
ins-7,7,14.0,0.1560000000000001,optimal
ins-8,8,15.0,0.2029999999999998,optimal
ins-9,9,16.0,0.25,optimal
ins-10,10,17.0,0.2649999999999988,optimal
ins-11,11,18.0,3.406000000000006,optimal
ins-12,12,19.0,0.984,optimal
ins-13,13,20.0,1.1870000000000047,optimal
ins-14,14,21.0,28.078000000000003,optimal
ins-15,15,22.0,1.7190000000000012,optimal
ins-16,16,23.0,5.359000000000151,optimal
ins-17,17,24.0,11.031000000000065,optimal
ins-18,18,25.0,147.735,optimal
ins-19,19,27.0,299.96799999999985,N|A
ins-20,20,28.0,300.09399999999914,non-optimal
ins-21,21,29.0,299.8909999999996,non-optimal
ins-22,22,30.0,300.46900000000005,non-optimal
ins-24,24,31.0,18.734999999998763,optimal
ins-25,25,33.0,300.28099999999995,non-optimal
ins-26,26,34.0,299.7659999999996,non-optimal
ins-23,23,30.0,212.1400000000004,optimal
ins-27,27,34.0,13.625,optimal
ins-28,28,35.0,33.31199999999808,optimal
ins-29,29,36.0,153.26600000000053,optimal
ins-30,30,39.0,300.2029999999995,non-optimal
ins-31,31,38.0,3.4840000000040163,optimal
ins-32,32,41.0,299.75,non-optimal
ins-33,33,41.0,299.34400000000005,non-optimal
ins-34,34,41.0,299.7969999999996,non-optimal
ins-35,35,41.0,299.75,non-optimal
ins-36,36,41.0,299.7659999999996,non-optimal
ins-37,37,63.0,299.82900000000154,non-optimal
ins-38,38,63.0,299.82800000000134,non-optimal
ins-39,39,62.0,299.6399999999994,non-optimal
ins-40,40,180.0,300.25,non-optimal
