ID,std copt,stb copt,std cplex,stb cplex,std gurobi,stb gurobi,std highs,stb highs,std xpress,stb xpress
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},\textbf{18},\textbf{18},19,\textbf{18},\textbf{18},19,19,\textbf{18},\textbf{18}
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},\textbf{19},20,20,\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},\textbf{21},22,22,\textbf{21},\textbf{21}
15,\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22},\textbf{22}
16,24,24,24,24,\textbf{23},\textbf{23},24,24,24,24
17,25,25,\textbf{24},\textbf{24},25,25,\textbf{24},\textbf{24},25,25
18,26,26,\textbf{25},\textbf{25},26,26,26,26,\textbf{25},\textbf{25}
19,27,27,27,27,27,27,28,28,27,27
20,28,28,28,28,28,28,28,28,28,28
21,29,29,29,29,29,29,30,30,29,29
22,30,30,30,30,\textbf{29},\textbf{29},31,31,30,30
23,31,31,31,31,31,31,31,31,31,31
24,\textbf{31},\textbf{31},32,32,32,32,32,32,32,32
25,34,34,33,33,33,33,34,34,34,34
26,34,34,34,35,34,34,34,34,34,34
27,\textbf{34},\textbf{34},35,35,\textbf{34},\textbf{34},36,36,\textbf{34},\textbf{34}
28,36,36,36,36,36,36,36,36,36,36
29,37,37,37,37,37,\textbf{36},38,38,37,37
30,39,39,40,40,38,38,40,40,38,38
31,\textbf{38},\textbf{38},39,39,\textbf{38},\textbf{38},39,39,\textbf{38},\textbf{38}
32,41,41,41,41,40,40,42,42,41,41
33,\textbf{40},\textbf{40},41,41,\textbf{40},\textbf{40},41,41,\textbf{40},\textbf{40}
34,41,41,41,41,\textbf{40},\textbf{40},42,42,41,41
35,41,41,41,41,\textbf{40},\textbf{40},42,42,41,41
36,41,41,41,41,\textbf{40},\textbf{40},42,42,41,41
37,62,62,62,62,61,61,63,63,62,62
38,62,62,61,61,61,61,63,63,62,62
39,62,62,61,61,61,61,64,64,61,61
40,137,137,115,116,104,103,N|A,N|A,191,194
