,instance,height,time,solution type
ins-1,1,8.0,0.282,optimal
ins-2,2,9.0,0.031,optimal
ins-3,3,10.0,0.0309999999999999,optimal
ins-4,4,11.0,0.0469999999999999,optimal
ins-5,5,12.0,0.0629999999999999,optimal
ins-6,6,13.0,0.062,optimal
ins-7,7,14.0,0.2339999999999999,optimal
ins-8,8,15.0,0.1099999999999998,optimal
ins-9,9,16.0,0.266,optimal
ins-10,10,17.0,0.8440000000000003,optimal
ins-11,11,18.0,11.141000000000002,optimal
ins-12,12,19.0,1.9689999999999976,optimal
ins-13,13,20.0,0.1720000000000006,optimal
ins-14,14,21.0,0.625,optimal
ins-15,15,22.0,1.1559999999999988,optimal
ins-16,16,23.0,131.42200000000005,optimal
ins-17,17,25.0,300.297,non-optimal
ins-18,18,26.0,300.297,non-optimal
ins-19,19,27.0,300.35900000000004,non-optimal
ins-20,20,28.0,300.25,non-optimal
ins-21,21,29.0,300.578,non-optimal
ins-22,22,29.0,36.89100000000008,optimal
ins-23,23,31.0,300.3120000000001,non-optimal
ins-24,24,32.0,300.3119999999999,non-optimal
ins-25,25,33.0,300.203,non-optimal
ins-26,26,34.0,300.203,non-optimal
ins-27,27,34.0,146.45299999999995,optimal
ins-28,28,36.0,300.2339999999999,non-optimal
ins-29,29,37.0,300.25,non-optimal
ins-30,30,38.0,300.297,non-optimal
ins-31,31,38.0,3.905999999999949,optimal
ins-32,32,40.0,300.3119999999999,non-optimal
ins-33,33,40.0,184.8119999999999,optimal
ins-34,34,40.0,199.95300000000043,optimal
ins-35,35,40.0,259.09400000000005,optimal
ins-36,36,40.0,188.09299999999985,optimal
ins-37,37,61.0,300.5159999999996,non-optimal
ins-38,38,61.0,300.28099999999995,non-optimal
ins-39,39,61.0,300.26600000000053,non-optimal
ins-40,40,104.0,300.25,non-optimal
