,instance,height,time,solution type
ins-1,1,8.0,0.5629999999946449,optimal
ins-2,2,9.0,0.1869999999980791,optimal
ins-3,3,10.0,0.1409999999959836,optimal
ins-4,4,11.0,0.2190000000045984,optimal
ins-5,5,12.0,0.2180000000007567,optimal
ins-6,6,13.0,0.2339999999967403,optimal
ins-7,7,14.0,0.3280000000013388,optimal
ins-8,8,15.0,0.5469999999986612,optimal
ins-9,9,16.0,0.5310000000026776,optimal
ins-10,10,17.0,1.6570000000065193,optimal
ins-11,11,18.0,8.703000000001339,optimal
ins-12,12,19.0,44.32799999999406,optimal
ins-13,13,20.0,2.875,optimal
ins-14,14,21.0,8.922000000005937,optimal
ins-15,15,22.0,44.03200000000652,optimal
ins-16,16,24.0,299.42199999999866,non-optimal
ins-17,17,25.0,299.82800000000134,non-optimal
ins-18,18,25.0,27.5309999999954,optimal
ins-19,19,27.0,300.125,non-optimal
ins-20,20,28.0,299.875,non-optimal
ins-21,21,29.0,299.8130000000019,non-optimal
ins-22,22,30.0,299.7809999999954,non-optimal
ins-23,23,31.0,299.8119999999981,non-optimal
ins-24,24,32.0,299.79699999999866,non-optimal
ins-25,25,34.0,299.95300000000134,non-optimal
ins-26,26,34.0,299.7040000000052,non-optimal
ins-27,27,34.0,16.32900000000518,optimal
ins-28,28,36.0,299.29699999999866,non-optimal
ins-29,29,37.0,299.8439999999973,non-optimal
ins-30,30,38.0,299.75,non-optimal
ins-31,31,38.0,34.18800000000192,optimal
ins-32,32,41.0,299.4850000000006,non-optimal
ins-33,33,40.0,18.23399999999674,optimal
ins-34,34,41.0,299.3439999999973,non-optimal
ins-35,35,41.0,299.79699999999866,non-optimal
ins-36,36,41.0,299.79700000000594,non-optimal
ins-37,37,62.0,299.8439999999973,non-optimal
ins-38,38,62.0,299.81200000000536,non-optimal
ins-39,39,61.0,299.8119999999981,non-optimal
ins-40,40,191.0,300.0,non-optimal
