,instance,height,time,solution type
ins-1,1,8.0,0.0939999999973224,optimal
ins-2,2,9.0,0.1090000000040163,optimal
ins-3,3,10.0,0.1410000000032596,optimal
ins-4,4,11.0,0.1869999999980791,optimal
ins-5,5,12.0,0.5159999999959837,optimal
ins-6,6,13.0,0.5469999999986612,optimal
ins-7,7,14.0,0.7180000000007567,optimal
ins-8,8,15.0,0.5780000000013388,optimal
ins-9,9,16.0,0.7969999999986612,optimal
ins-10,10,17.0,1.2030000000013388,optimal
ins-11,11,18.0,14.562000000005357,optimal
ins-12,12,19.0,11.125,optimal
ins-13,13,20.0,11.109000000004016,optimal
ins-14,14,21.0,56.687999999994645,optimal
ins-15,15,22.0,46.43700000000536,optimal
ins-16,16,24.0,300.125,non-optimal
ins-17,17,25.0,300.18700000000536,non-optimal
ins-18,18,26.0,300.1880000000019,non-optimal
ins-19,19,27.0,300.125,non-optimal
ins-20,20,28.0,300.15699999999924,non-optimal
ins-21,21,29.0,300.1710000000021,non-optimal
ins-22,22,30.0,300.109000000004,non-optimal
ins-23,23,31.0,300.125,non-optimal
ins-24,24,31.0,155.7190000000046,optimal
ins-25,25,34.0,300.140999999996,non-optimal
ins-26,26,34.0,300.15699999999924,non-optimal
ins-27,27,34.0,126.60900000000402,optimal
ins-28,28,36.0,300.125,non-optimal
ins-29,29,37.0,300.18799999999464,non-optimal
ins-30,30,39.0,300.17199999999866,non-optimal
ins-31,31,38.0,59.015999999995984,optimal
ins-32,32,41.0,300.0939999999973,non-optimal
ins-33,33,40.0,131.375,optimal
ins-34,34,41.0,300.125,non-optimal
ins-35,35,41.0,300.0940000000046,non-optimal
ins-36,36,41.0,300.07800000000134,non-optimal
ins-37,37,62.0,300.1399999999994,non-optimal
ins-38,38,62.0,300.1100000000006,non-optimal
ins-39,39,62.0,300.1880000000019,non-optimal
ins-40,40,137.0,300.2039999999979,non-optimal
