,instance,height,time,solution type
ins-1,1,8.0,0.0780000000013387,optimal
ins-2,2,9.0,0.0629999999982828,optimal
ins-3,3,10.0,0.0779999999977008,optimal
ins-4,4,11.0,0.0940000000009604,optimal
ins-5,5,12.0,0.1709999999984575,optimal
ins-6,6,13.0,0.0940000000009604,optimal
ins-7,7,14.0,0.125,optimal
ins-8,8,15.0,0.2340000000003783,optimal
ins-9,9,16.0,0.2190000000009604,optimal
ins-10,10,17.0,0.7649999999994179,optimal
ins-11,11,19.0,300.125,non-optimal
ins-12,12,19.0,13.640999999999622,optimal
ins-13,13,20.0,9.625,optimal
ins-14,14,21.0,116.18700000000172,optimal
ins-15,15,22.0,6.764999999999418,optimal
ins-16,16,24.0,300.1399999999994,non-optimal
ins-17,17,24.0,35.07800000000134,optimal
ins-18,18,25.0,36.06300000000192,optimal
ins-19,19,27.0,300.1409999999996,non-optimal
ins-20,20,28.0,300.125,non-optimal
ins-21,21,29.0,300.125,non-optimal
ins-22,22,30.0,300.0939999999973,non-optimal
ins-23,23,31.0,300.0779999999977,non-optimal
ins-24,24,32.0,300.09400000000096,non-optimal
ins-25,25,33.0,300.07900000000154,non-optimal
ins-26,26,35.0,300.1399999999994,non-optimal
ins-27,27,35.0,300.0939999999973,non-optimal
ins-28,28,36.0,300.09400000000096,non-optimal
ins-29,29,37.0,300.0779999999977,non-optimal
ins-30,30,40.0,300.1880000000019,non-optimal
ins-31,31,39.0,300.0629999999983,non-optimal
ins-32,32,41.0,300.17199999999866,non-optimal
ins-33,33,41.0,300.1100000000006,non-optimal
ins-34,34,41.0,300.125,non-optimal
ins-35,35,41.0,300.125,non-optimal
ins-36,36,41.0,300.07800000000134,non-optimal
ins-37,37,62.0,300.15599999999904,non-optimal
ins-38,38,61.0,300.09400000000096,non-optimal
ins-39,39,61.0,300.125,non-optimal
ins-40,40,116.0,300.32800000000134,non-optimal
