,instance,height,time,solution type
ins-1,1,8.0,0.0469999999995707,optimal
ins-2,2,9.0,0.030999999999949,optimal
ins-3,3,10.0,0.0469999999995707,optimal
ins-4,4,11.0,0.0780000000004292,optimal
ins-5,5,12.0,0.0780000000004292,optimal
ins-6,6,13.0,0.0630000000001018,optimal
ins-7,7,14.0,0.3280000000004293,optimal
ins-8,8,15.0,0.1570000000001528,optimal
ins-9,9,16.0,0.3440000000000509,optimal
ins-10,10,17.0,0.9840000000003783,optimal
ins-11,11,18.0,17.89100000000053,optimal
ins-12,12,19.0,3.1400000000003274,optimal
ins-13,13,20.0,0.2029999999995198,optimal
ins-14,14,21.0,0.938000000000102,optimal
ins-15,15,22.0,1.7030000000004293,optimal
ins-16,16,23.0,152.70300000000043,optimal
ins-17,17,25.0,300.3599999999997,non-optimal
ins-18,18,26.0,300.40599999999995,non-optimal
ins-19,19,27.0,300.3130000000001,non-optimal
ins-20,20,28.0,300.25,non-optimal
ins-21,21,29.0,300.2650000000003,non-optimal
ins-22,22,29.0,52.03099999999995,optimal
ins-23,23,31.0,300.28099999999904,non-optimal
ins-24,24,32.0,300.2970000000005,non-optimal
ins-25,25,33.0,300.21900000000096,non-optimal
ins-26,26,34.0,300.2350000000006,non-optimal
ins-27,27,34.0,152.51600000000144,optimal
ins-28,28,36.0,300.23399999999856,non-optimal
ins-29,29,36.0,280.5159999999996,optimal
ins-30,30,38.0,300.2970000000005,non-optimal
ins-31,31,38.0,3.67200000000048,optimal
ins-32,32,40.0,300.29599999999846,non-optimal
ins-33,33,40.0,165.1869999999999,optimal
ins-34,34,40.0,175.73500000000058,optimal
ins-35,35,40.0,209.20299999999952,optimal
ins-36,36,40.0,147.53100000000086,optimal
ins-37,37,61.0,300.26600000000144,non-optimal
ins-38,38,61.0,300.20300000000134,non-optimal
ins-39,39,61.0,300.25,non-optimal
ins-40,40,103.0,300.2029999999995,non-optimal
