,instance,height,time,solution type
ins-1,1,8.0,0.1559999999954016,optimal
ins-2,2,9.0,0.125,optimal
ins-3,3,10.0,0.125,optimal
ins-4,4,11.0,0.2189999999973224,optimal
ins-5,5,12.0,0.2030000000013387,optimal
ins-6,6,13.0,0.235000000000582,optimal
ins-7,7,14.0,0.3129999999946449,optimal
ins-8,8,15.0,0.5630000000019209,optimal
ins-9,9,16.0,0.5,optimal
ins-10,10,17.0,1.7029999999940628,optimal
ins-11,11,18.0,8.75,optimal
ins-12,12,19.0,44.484000000004016,optimal
ins-13,13,20.0,2.875,optimal
ins-14,14,21.0,9.0,optimal
ins-15,15,22.0,43.0309999999954,optimal
ins-16,16,24.0,300.1100000000006,non-optimal
ins-17,17,25.0,299.85899999999674,non-optimal
ins-18,18,25.0,27.59399999999732,optimal
ins-19,19,27.0,299.95299999999406,non-optimal
ins-20,20,28.0,299.8440000000046,non-optimal
ins-21,21,29.0,299.8600000000006,non-optimal
ins-22,22,30.0,299.7960000000021,non-optimal
ins-23,23,31.0,299.71800000000803,non-optimal
ins-24,24,32.0,299.79700000000594,non-optimal
ins-25,25,34.0,299.96800000000803,non-optimal
ins-26,26,34.0,299.68799999999464,non-optimal
ins-27,27,34.0,16.73399999999674,optimal
ins-28,28,36.0,299.84300000000803,non-optimal
ins-29,29,37.0,299.8439999999973,non-optimal
ins-30,30,38.0,299.7810000000027,non-optimal
ins-31,31,38.0,36.6869999999908,optimal
ins-32,32,41.0,299.98399999999674,non-optimal
ins-33,33,40.0,24.312000000005355,optimal
ins-34,34,41.0,299.8899999999994,non-optimal
ins-35,35,41.0,299.75,non-optimal
ins-36,36,41.0,299.8119999999908,non-optimal
ins-37,37,62.0,299.8130000000092,non-optimal
ins-38,38,62.0,299.70299999999406,non-optimal
ins-39,39,61.0,299.7189999999973,non-optimal
ins-40,40,194.0,300.0780000000086,non-optimal
