ID,SATModel_s_e_q,SATModel_n_p,SATModel_b_w,SATModel_h_e
1,\textbf{8},\textbf{8},\textbf{8},\textbf{8}
2,\textbf{9},\textbf{9},\textbf{9},\textbf{9}
3,\textbf{10},\textbf{10},\textbf{10},\textbf{10}
4,\textbf{11},\textbf{11},\textbf{11},\textbf{11}
5,\textbf{12},\textbf{12},\textbf{12},\textbf{12}
6,\textbf{13},\textbf{13},\textbf{13},\textbf{13}
7,\textbf{14},\textbf{14},\textbf{14},\textbf{14}
8,\textbf{15},\textbf{15},\textbf{15},\textbf{15}
9,\textbf{16},\textbf{16},\textbf{16},\textbf{16}
10,\textbf{17},\textbf{17},\textbf{17},\textbf{17}
11,\textbf{18},\textbf{18},N|A,N|A
12,\textbf{19},\textbf{19},\textbf{19},\textbf{19}
13,\textbf{20},\textbf{20},\textbf{20},\textbf{20}
14,\textbf{21},\textbf{21},\textbf{21},\textbf{21}
15,\textbf{22},N|A,N|A,\textbf{22}
16,N|A,N|A,N|A,N|A
17,N|A,N|A,N|A,N|A
18,N|A,N|A,N|A,\textbf{25}
19,N|A,N|A,N|A,N|A
20,N|A,N|A,N|A,N|A
21,N|A,N|A,N|A,N|A
22,N|A,N|A,N|A,N|A
23,N|A,N|A,N|A,N|A
24,N|A,N|A,N|A,N|A
25,N|A,N|A,N|A,N|A
26,N|A,N|A,N|A,N|A
27,N|A,N|A,N|A,N|A
28,N|A,N|A,N|A,N|A
29,N|A,N|A,N|A,N|A
30,N|A,N|A,N|A,N|A
31,N|A,N|A,N|A,N|A
32,N|A,N|A,N|A,N|A
33,N|A,N|A,N|A,N|A
34,N|A,N|A,N|A,N|A
35,N|A,N|A,N|A,N|A
36,N|A,N|A,N|A,N|A
37,N|A,N|A,N|A,N|A
38,N|A,N|A,N|A,N|A
39,N|A,N|A,N|A,N|A
40,N|A,N|A,N|A,N|A
