,instance,height,time,solution type
ins-1,1,8,0.467081069946289,optimal
ins-2,2,9,0.9939987659454346,optimal
ins-3,3,10,1.819073915481568,optimal
ins-4,4,11,3.561002731323242,optimal
ins-5,5,12,5.195487022399902,optimal
ins-6,6,13,9.67799997329712,optimal
ins-7,7,14,12.526416778564451,optimal
ins-8,8,15,17.406255960464478,optimal
ins-9,9,16,18.92232036590576,optimal
ins-10,10,17,30.95418667793274,optimal
ins-11,11,18,279.07944536209106,optimal
ins-12,12,19,56.71878504753113,optimal
ins-13,13,20,65.73587846755981,optimal
ins-14,14,21,155.0428204536438,optimal
ins-15,15,22,164.4993851184845,optimal
ins-16,16,0,300.0,N|A
ins-17,17,24,272.92728304862976,optimal
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
