,instance,height,time,solution type
ins-1,1,8,0.4939994812011719,optimal
ins-2,2,9,0.706998348236084,optimal
ins-3,3,10,1.4459607601165771,optimal
ins-4,4,11,2.5890026092529297,optimal
ins-5,5,12,4.171181678771973,optimal
ins-6,6,13,7.812002658843994,optimal
ins-7,7,14,9.120075941085815,optimal
ins-8,8,15,13.26399827003479,optimal
ins-9,9,16,17.96400260925293,optimal
ins-10,10,17,28.16816711425781,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,57.09374690055847,optimal
ins-13,13,20,67.99045324325562,optimal
ins-14,14,21,95.81523895263672,optimal
ins-15,15,22,107.16928577423096,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
