,instance,height,time,solution type
ins-1,1,8,0.7588949203491211,optimal
ins-2,2,9,1.481111764907837,optimal
ins-3,3,10,2.889296770095825,optimal
ins-4,4,11,5.9278059005737305,optimal
ins-5,5,12,11.445707559585571,optimal
ins-6,6,13,26.414581537246704,optimal
ins-7,7,14,35.67586851119995,optimal
ins-8,8,15,48.99964690208435,optimal
ins-9,9,16,70.60899710655212,optimal
ins-10,10,17,130.256609916687,optimal
ins-11,11,0,300.0,N|A
ins-12,12,19,259.39632058143616,optimal
ins-13,13,20,119.4369592666626,optimal
ins-14,14,21,164.4592673778534,optimal
ins-15,15,22,249.2626075744629,optimal
ins-16,16,0,300.0,N|A
ins-17,17,0,300.0,N|A
ins-18,18,0,300.0,N|A
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
ins-21,21,0,300.0,N|A
ins-22,22,0,300.0,N|A
ins-23,23,0,300.0,N|A
